MONSELICE,ESTE,OSPEDALETTO EUGANEO,
1.0,0.5,1.0,1.0
1.5,0.5,1.0,1.0
3.0,2.0,2.0,2.0
10.0,9.5,9.0,9.0
2.0,1.0,1.5,1.5
1.5,1.0,1.0,1.0
2.0,1.0,1.0,1.0
1.0,0.5,1.0,1.0
1.5,0.5,1.5,1.5
1.5,1.0,1.5,1.5
1.5,1.0,1.0,1.0
2.0,1.0,2.0,2.0
1.5,1.0,1.5,1.5
1.0,0.5,1.0,1.0
2.5,1.0,1.0,1.0
1.5,2.0,3.0,3.0
1.0,0.5,1.0,1.0
1.5,0.5,1.0,1.0
1.0,0.5,0.5,0.5
2.0,1.0,0.5,0.5
2.0,0.5,0.5,0.5
1.0,0.5,1.0,1.0
2.0,0.5,1.0,1.0
1.5,2.0,5.0,5.0
2.0,1.0,1.5,1.5
4.0,3.0,3.0,3.0
0.5,0.5,1.0,1.0
1.0,0.5,1.0,1.0
4.0,2.5,2.0,2.0
1.5,1.0,2.0,2.0
1.0,0.5,1.0,1.0
1.5,0.5,0.5,0.5
2.5,2.0,2.5,2.5
5.0,3.5,3.5,3.5
1.5,0.5,1.0,1.0
3.0,1.5,1.5,1.5
1.5,0.5,0.5,0.5
1.0,1.0,2.0,2.0
1.0,0.5,1.0,1.0
1.0,0.5,1.0,1.0
2.0,1.0,1.0,1.0
1.5,1.0,1.5,1.5
4.0,3.0,3.5,3.5
1.5,0.5,1.0,1.0
1.0,0.5,1.0,1.0
2.0,1.0,1.5,1.5
1.5,0.5,0.5,0.5
2.0,1.5,2.0,2.0
1.0,0.5,2.0,2.0
2.0,0.5,0.5,0.5
2.0,2.0,2.0,2.0
3.5,2.5,2.5,2.5
1.0,1.0,2.0,2.0
3.0,1.0,1.0,1.0
3.0,1.5,2.5,2.5
1.0,0.5,0.5,0.5
2.0,2.0,2.5,2.5
1.0,1.0,1.5,1.5
1.5,0.5,1.0,1.0
2.0,1.0,1.5,1.5
