MILANO CENTRALE,LODI,FIDENZA,
1.5,1.0,2.0,2.0
2.5,2.5,2.5,2.5
0.5,0.5,1.0,1.0
3.0,1.0,0.5,0.5
2.0,0.5,3.0,3.0
1.0,1.0,1.5,1.5
1.5,2.5,0.5,0.5
1.0,3.0,3.5,3.5
1.0,0.5,1.0,1.0
1.0,2.0,0.5,0.5
1.5,2.0,1.0,1.0
1.0,0.5,7.0,7.0
2.0,1.5,0.5,0.5
1.5,0.5,1.0,1.0
1.5,0.5,0.5,0.5
1.0,3.0,0.5,0.5
2.0,7.5,1.0,1.0
2.0,1.5,0.5,0.5
2.0,0.5,1.0,1.0
1.0,1.5,0.5,0.5
2.5,2.0,0.5,0.5
2.5,2.0,2.0,2.0
1.5,1.0,1.0,1.0
1.5,0.5,1.0,1.0
1.5,2.5,1.0,1.0
1.5,1.5,10.5,10.5
1.5,3.5,1.5,1.5
1.0,1.0,7.0,7.0
2.5,5.0,11.5,11.5
1.5,2.0,2.0,2.0
3.0,1.5,1.5,1.5
2.5,2.5,3.5,3.5
2.5,4.5,3.0,3.0
2.0,2.0,2.5,2.5
2.0,0.5,4.5,4.5
2.0,2.0,1.5,1.5
2.0,0.5,5.5,5.5
1.0,2.5,2.0,2.0
1.0,0.5,0.5,0.5
1.0,2.5,4.0,4.0
2.0,2.0,5.5,5.5
1.0,3.5,1.5,1.5
1.5,2.0,1.5,1.5
2.0,0.5,1.5,1.5
4.0,2.5,2.0,2.0
1.0,2.0,1.5,1.5
3.0,2.5,1.0,1.0
3.0,3.0,0.5,0.5
1.0,2.0,1.5,1.5
2.5,3.0,1.5,1.5
1.0,1.0,0.5,0.5
2.5,5.0,11.5,11.5
2.0,1.5,1.0,1.0
2.5,3.0,0.5,0.5
1.5,3.0,1.0,1.0
1.5,1.0,1.0,1.0
3.0,3.0,0.5,0.5
2.0,1.0,0.5,0.5
2.0,3.5,2.0,2.0
1.0,2.0,1.0,1.0
