station,mean_delay,std_dev
ROMA TIBURTINA,6.734999999999993,28.866445992893762
BOLOGNA C.LE,5.513503184713396,17.470127294581893
PALAZZOLO M.SE,2.129032258064516,2.9748045928415867
SEVESO,1.6129032258064515,1.229564132930547
RICADI,31.0,0.0
VARIGNANA,10.5,12.020815280171307
CASTEL S.GIOVANNI,3.5535714285714284,5.658072291097212
REGGIO CALABRIA CENTRALE,1.6692307692307693,3.0003605552563943
LUGO,1.457703927492448,3.6615975379958465
PORTO S. GIORGIO FERMO,10.822064056939501,17.124189574446913
MONSELICE,0.1654411764705868,13.456797146184202
RIMINI,5.641245791245799,15.949376775661845
TERONTOLA CORTONA,12.862595419847326,21.614102717644844
TERME EUGANEE-ABANO-MONTEGR.,2.562962962962965,12.6698062793136
CHIUSI C.T.,11.62404580152672,26.223159495255395
CADEO,3.4004629629629637,6.7355737152109425
TORTONA,4.59920634920635,6.322663945290732
S.LAZZARO DI SAVENA,1.8939393939393936,3.0884111771835525
RAVENNA,2.255255255255254,3.391077636986537
PERUGIA PONTE S.GIOVANNI,0.0,0.0
BARLETTA,2.109589041095893,10.791470996803048
PIACENZA,4.0499851234751585,16.743820844063976
CASTELFRANCO D'EMILIA,1.3667044809983,7.138315486651356
SALERNO,-0.5,0.0
GIULIANOVA,10.896797153024911,17.943214706145852
PRATO CENTRALE,12.41535433070867,41.54565230879494
VENEZIA MESTRE,3.6481481481481484,12.305967802654852
MARZOCCA,33.4,59.34475545488413
ASTI,13.52941176470588,15.827446200233583
BARBIANO,2.7790055248618777,4.207572684388676
ORVIETO,12.359315589353614,26.672869444723986
PADERNO DUGNANO,2.774193548387097,2.8949343967161543
SAMOGGIA,3.257000903342363,6.146577080277834
MONOPOLI,4.3955223880597,12.184063705171418
VENEZIA SANTA LUCIA,1.9583333333333337,3.801386682839327
ROMA TERMINI,3.3629629629629636,4.931784526722654
LIDO DI CLASSE-LIDO DI SAVIO,1.147540983606555,6.176220079422768
TROPEA,30.0,0.0
M.N. BRUZZANO,3.225806451612903,2.9744431122408423
MODENA,5.0851604278074785,17.30895896788563
IMOLA,3.167439165701045,7.912811943580701
ROVATO,2.629032258064516,4.295283735167143
NICOTERA,29.0,0.0
