station,mean_delay,std_dev
TREVISO C.,-2.0,0.0
ROMA TIBURTINA,4.128794326241133,19.133440451817215
BOLOGNA C.LE,8.947115384615385,10.147638057052975
NAPOLI CENTRALE,2.664655172413789,13.798011582879772
MUSIANO-PIAN DI MACINA,5.880952380952381,9.910732518215749
MILANO PORTA GARIBALDI,6.809694793536805,22.605103344352134
GRIZZANA,1.3007117437722424,3.3035910426876196
NAPOLI AFRAGOLA,2.459523809523811,13.729296576964131
FIDENZA,17.5,0.0
FOLIGNO,-1.5750000000000002,12.588810407739665
MONSELICE,4.5,0.0
FERRANDINA,1.911016949152542,3.7351594411741393
TRENTO,6.25362318840579,14.330082489258304
FIRENZE S.M.N.,7.570976067573913,20.95897793546754
PIANORO,0.5213523131672582,4.234582070001123
POTENZA INFERIORE,0.06603773584905763,8.502681781901325
TERONTOLA CORTONA,12.4,15.138527008926596
TERME EUGANEE-ABANO-MONTEGR.,3.5,0.0
UDINE,3.0,0.0
CHIUSI C.T.,2.9,13.694889557787606
VIAREGGIO,2.7083333333333326,5.56081100628488
MONTALE AGLIANA,1.6683168316831687,3.610593599204134
CASARSA,-2.0,0.0
PERUGIA PONTE S.GIOVANNI,0.0,0.0
PESCIA,6.356557377049181,4.683574034468772
VERONA PORTA NUOVA,11.142857142857146,37.225459576731495
RHO FIERA MILANO,10.464285714285714,20.55161909969742
PIACENZA,5.25,8.595056718835542
MONZUNO,1.5836298932384347,3.549791089179401
BOLOGNA MAZZINI,4.514705882352941,7.964395480224403
RASTIGNANO,5.2142857142857135,9.76802363399504
MONTECATINI TERME,4.659836065573771,4.7461451924461215
SALERNO,744045.4960567777,1.8734546932901934E7
PORDENONE,-3.0,0.0
BOLOGNA C.LE/AV,8.872343609697708,26.378519457833246
PRATO CENTRALE,0.35315985130111566,3.4423692709910796
VENEZIA MESTRE,11.843780135004806,24.310187664985754
MONTECATINI CENTRO,9.651639344262296,4.648775429381313
TERNI,3.2198581560283706,11.306188064558503
VENEZIA SANTA LUCIA,10.948393378773119,24.794256016905337
ROMA TERMINI,3.0629716367421587,17.21820611376614
VERNIO MONTEPIANO CANTAGALLO,0.9199999999999992,3.1022593988779237
PRATO BORGONUOVO,2.361386138613862,3.3414957817429523
BOLZANO,3.3224637681159446,14.3736377614951
BOLOGNA SAN VITALE,3.82,9.39401405151174
MODENA,10.321428571428573,9.1895817477409
MILANO ROGOREDO,8.334120425029514,23.751196160489222
FIRENZE RIFREDI,1.4057788944723613,2.7334188502567285
METAPONTO,-1.152777777777777,3.279133956202385
FERRARA,11.29929577464789,17.43895735252261
PADOVA,10.76345609065157,24.704845497770744
TORINO PORTA SUSA,6.6745379876796855,15.473955459954766
FIRENZE CASTELLO,0.9221014492753633,2.8888973556512525
GORIZIA CENTRALE,-2.0,0.0
TORINO P.NUOVA,5.397395833333321,15.706946833209017
PARMA,8.166666666666668,7.336452099738994
BOLOGNA S.RUFFILLO,2.4852941176470593,8.150557978777826
AREZZO,2.3531746031746033,5.607162369797208
CONEGLIANO,-2.0,0.0
FIRENZE CAMPO MARTE,9.794520547945204,34.31822031560799
CALENZANO,3.209923664122138,2.7866123619309646
MILANO CENTRALE,8.655844155844157,22.083455393175836
REGGIO EMILIA,11.296296296296296,8.676071491419174
SPOLETO,0.6392857142857137,12.10372852018922
ZAMBRA,1.5990099009901,3.0943656878108303
ALTOPASCIO,7.565573770491803,5.070148749864504
SESTO FIORENTINO,-0.29271356783919655,2.851774324760292
LODI,12.0,0.0
REGGIO EMILIA AV,8.982782369146006,20.47462802591219
LUCCA,5.590163934426229,6.005512754459672
PISTOIA,1.6031390134529149,4.073440564208316
IL NETO,3.5792079207920793,3.0147410114861666
VAIANO,0.8859934853420193,2.777718165888639
PRATO PORTA AL SERRAGLIO,2.19506726457399,3.125213199207399
TARANTO,1.1215277777777775,1.5803055026609492
ROVIGO,13.686619718309862,30.356254052894325
SACILE,-1.5,0.0
ROVERETO,5.881294964028779,14.722503569515437
PERUGIA,2.1956521739130435,7.0529476920111245
SAN BENEDETTO SAMBRO-CAST.PEPOLI,1.4421768707482998,3.078615556277528
ASSISI,3.3179761904761906,12.137643361144642
PRATIGNONE,3.5792079207920793,3.0147410114861666
CODROIPO,0.0,0.0
FIUMICINO AEROPORTO,1.1631205673758869,3.142733372344114
