AVERSA,FORMIA-GAETA
2.5,1.5
6.5,9.0
1.5,7.0
8.5,7.5
2.0,2.5
0.5,1.0
20.0,20.5
5.0,4.0
1.0,1.5
14.0,12.5
0.5,0.5
6.5,5.0
1.0,1.0
1.0,0.5
7.0,7.0
3.0,3.5
13.0,18.0
1.0,1.5
11.5,11.0
3.0,1.0
5.0,3.5
3.0,2.0
1.5,1.0
14.0,12.5
3.0,5.5
7.5,9.0
1.0,1.0
12.0,18.0
1.0,5.0
5.0,5.0
1.5,1.5
4.5,4.0
2.0,1.5
1.5,1.5
3.0,4.5
2.0,0.5
2.5,2.0
4.0,2.0
3.5,4.0
25.0,24.5
1.0,1.0
1.0,1.5
3.5,5.0
4.0,5.0
3.0,3.0
5.5,6.5
2.0,2.0
3.0,1.0
3.5,5.0
22.5,22.5
4.0,3.0
5.0,4.5
1.0,1.5
2.0,2.5
2.0,0.5
4.5,7.5
11.5,10.0
17.0,23.5
7.0,9.0
5.5,4.0
10.5,12.5
1.5,3.0
4.5,3.5
8.5,17.5
7.0,6.0
20.5,17.5
9.5,9.5
2.5,2.5
3.5,2.0
6.5,5.5
4.0,3.5
5.0,7.5
3.0,3.0
4.5,6.0
1.0,3.5
1.5,1.0
5.5,5.5
8.0,7.5
5.0,4.0
3.5,5.0
6.0,6.5
3.0,4.0
4.5,4.5
11.0,10.5
22.0,21.0
2.5,2.0
1.5,13.5
10.5,10.5
1.5,9.0
6.5,11.0
2.0,2.5
2.5,3.0
9.5,7.5
4.0,9.0
10.0,12.5
0.5,0.5
4.0,3.0
1.0,1.0
14.0,27.5
4.5,14.0
