REGGIO EMILIA AV,BOLOGNA C.LEAV
5.0,6.0
3.5,6.5
6.5,10.0
7.5,8.0
1.5,3.5
4.5,3.5
2.5,3.0
0.5,0.5
3.0,2.5
9.0,10.5
4.0,5.0
7.0,7.0
3.0,2.5
2.5,4.5
4.0,7.0
5.0,7.5
11.5,12.0
10.0,11.5
4.0,1.5
1.0,1.0
2.5,6.0
5.5,6.5
10.0,13.5
13.0,14.0
9.0,8.0
4.0,5.0
0.5,5.5
7.5,7.5
3.5,5.0
1.5,5.0
6.5,7.5
0.5,4.0
9.0,9.5
2.5,3.0
1.0,0.5
2.0,2.5
14.5,14.5
3.5,3.5
6.0,6.5
2.5,5.0
9.5,10.5
1.0,2.5
5.0,5.5
0.5,1.0
4.5,1.0
6.0,6.0
8.5,10.0
9.0,10.0
3.0,4.0
19.0,20.5
4.5,5.0
5.5,6.5
5.5,3.0
4.5,5.0
4.5,6.0
2.0,4.5
1.5,4.0
7.5,9.5
8.0,8.5
23.5,27.0
0.5,4.0
1.0,4.0
24.0,24.5
3.0,4.5
2.0,3.0
15.5,18.5
8.0,8.0
0.5,1.5
7.5,7.5
7.0,7.5
18.5,19.5
1.0,4.5
8.0,9.0
4.5,5.0
7.5,6.0
3.5,4.5
12.5,14.0
0.5,2.0
15.5,16.5
24.0,24.0
12.0,12.0
5.5,6.5
0.5,2.0
0.5,2.5
4.5,6.5
7.0,7.0
8.0,8.0
8.5,9.5
3.5,4.0
3.5,6.0
1.0,2.0
3.5,7.5
12.0,11.5
0.5,1.5
4.0,1.0
8.5,8.5
9.0,11.5
11.0,12.0
3.5,6.5
5.5,7.5
