ROMA TERMINI,ROMA TIBURTINA,FIRENZE S.M.N.
1.0,0.0,6.0
4.0,2.5,3.5
0.0,-2.0,2.0
0.0,-3.0,0.5
0.0,-3.0,-2.5
0.0,-1.0,7.0
0.0,-0.5,-7.0
4.0,3.5,9.5
0.0,0.0,10.0
0.0,-3.0,11.0
0.0,-1.5,0.5
3.0,2.0,10.0
0.0,-1.5,-2.5
3.0,0.0,2.5
0.0,-2.0,-5.0
0.0,-1.0,4.5
0.0,-0.5,-1.0
1.0,-1.0,4.0
1.0,0.5,12.0
2.0,0.5,5.0
0.0,-1.5,-3.0
1.0,-1.0,-0.5
1.0,-0.5,2.5
13.0,12.0,12.5
1.0,-0.5,7.0
11.0,9.0,13.5
2.0,0.5,16.0
0.0,-2.5,1.5
0.0,-2.0,-2.5
2.0,0.0,2.0
0.0,1.0,0.5
0.0,-2.0,-3.0
0.0,-1.5,-2.5
0.0,-1.5,-3.0
2.0,1.0,-0.5
0.0,-1.5,1.0
0.0,-1.0,1.5
0.0,-1.0,-6.0
12.0,10.0,23.5
1.0,-1.5,-2.5
1.0,-1.0,5.5
3.0,0.5,-1.0
0.0,0.0,0.0
5.0,5.0,2.5
1.0,0.0,-3.0
2.0,0.0,4.5
0.0,-2.0,3.0
0.0,-1.0,4.0
0.0,-1.0,9.0
0.0,7.0,10.0
1.0,-1.5,0.0
3.0,0.5,7.0
0.0,-2.5,2.5
0.0,1.0,4.5
0.0,-1.5,4.0
3.0,0.5,3.0
0.0,0.0,6.0
0.0,-2.5,9.5
0.0,-1.0,-2.5
0.0,-2.5,-1.5
0.0,-1.0,11.0
0.0,-1.0,0.5
1.0,-1.0,3.5
6.0,4.0,9.0
1.0,1.5,0.5
1.0,-0.5,5.5
10.0,7.0,7.0
6.0,5.5,11.0
0.0,-2.0,-3.5
0.0,-1.5,-6.5
0.0,0.0,12.0
0.0,-3.0,-2.0
0.0,-2.0,2.0
0.0,0.5,0.0
0.0,-1.5,1.5
1.0,-1.0,-6.0
0.0,-1.0,1.5
0.0,-1.5,2.5
0.0,-0.5,0.0
2.0,0.5,1.5
0.0,-0.5,5.5
0.0,-2.5,2.0
0.0,-1.5,1.0
0.0,-2.5,-1.0
1.0,-0.5,7.5
0.0,-1.5,5.0
3.0,1.0,-0.5
0.0,3.0,5.5
0.0,-1.5,2.5
1.0,-1.0,0.5
1.0,0.5,7.5
0.0,-2.5,4.0
0.0,-1.5,-6.0
0.0,-0.5,5.5
1.0,0.0,-3.5
0.0,-2.0,4.5
2.0,1.0,2.0
0.0,0.0,0.0
0.0,-1.0,7.0
2.0,0.5,26.0
