LUGO,IMOLA
3.0,4.0
5.5,5.5
4.0,5.5
3.5,6.5
0.5,2.5
3.5,3.0
4.5,5.0
2.5,3.5
3.0,4.0
1.0,12.5
3.0,7.5
3.5,4.5
3.5,5.0
1.0,2.5
2.5,4.5
4.0,6.0
6.0,8.0
4.5,3.5
11.5,11.5
3.5,3.5
4.0,8.0
3.5,2.5
4.5,8.5
1.5,1.0
5.0,5.0
0.5,6.5
3.5,5.5
2.0,3.5
2.5,2.5
5.5,6.5
4.0,11.0
2.5,2.0
3.5,7.0
4.0,5.5
1.0,1.5
5.0,4.5
5.0,6.5
0.5,4.5
2.5,3.5
5.5,8.0
16.5,18.0
3.5,4.0
2.0,9.5
4.5,5.5
3.0,3.5
4.5,5.0
0.5,2.0
0.5,4.5
3.5,3.5
0.5,3.0
2.0,3.0
1.0,3.0
7.0,8.0
2.5,7.5
2.0,4.0
1.5,10.5
2.5,7.0
1.0,2.0
1.5,4.5
2.5,1.5
4.0,4.5
12.0,13.0
2.5,2.5
0.5,0.5
5.5,19.0
1.5,12.5
2.5,6.5
1.0,3.0
1.0,5.5
1.0,3.5
22.5,25.0
3.0,5.0
1.5,9.0
6.0,7.0
7.0,10.0
3.0,6.0
7.0,9.0
3.0,3.5
3.0,3.0
1.5,6.5
2.5,3.5
2.0,3.0
5.0,5.5
4.0,6.0
0.5,3.0
3.5,4.0
16.5,17.5
1.5,3.0
9.5,9.5
8.0,10.0
2.0,4.5
11.0,17.0
4.0,5.0
5.5,5.5
6.0,10.5
4.5,4.0
0.5,0.5
4.0,4.0
3.5,6.0
6.0,7.0
