ROMA TIBURTINA,ROMA TERMINI
9.5,6.0
11.0,8.0
4.0,4.0
7.0,5.0
5.5,4.0
16.5,12.0
7.5,5.0
10.5,8.0
4.0,5.0
9.0,5.0
7.0,3.0
3.0,4.0
5.0,4.0
4.0,1.0
12.0,8.0
25.5,21.0
6.5,3.0
8.5,6.0
18.0,14.0
6.5,6.0
3.5,1.0
11.0,14.0
5.0,4.0
4.0,1.0
5.5,3.0
4.5,1.0
8.0,5.0
2.0,3.0
5.5,5.0
11.0,11.0
13.5,10.0
3.0,5.0
6.5,2.0
3.5,3.0
11.5,9.0
11.0,11.0
2.0,1.0
7.0,3.0
8.0,5.0
3.0,3.0
2.5,4.0
8.0,5.0
6.5,3.0
6.5,2.0
8.5,6.0
8.0,6.0
4.0,3.0
19.5,17.0
13.0,12.0
9.5,7.0
3.5,6.0
7.0,5.0
10.5,14.0
7.0,15.0
10.5,8.0
7.5,3.0
1.0,2.0
5.5,1.0
10.5,12.0
4.0,1.0
7.5,5.0
15.0,16.0
1.5,2.0
6.0,6.0
1.0,1.0
11.5,7.0
9.5,7.0
10.5,7.0
3.5,1.0
1.0,2.0
6.5,12.0
1.5,3.0
1.5,7.0
14.0,12.0
2.0,4.0
5.5,4.0
7.0,4.0
14.5,15.0
1.5,1.0
5.0,3.0
4.5,1.0
7.0,5.0
5.0,4.0
5.0,5.0
9.5,6.0
2.0,1.0
7.0,4.0
13.0,10.0
5.0,2.0
9.5,6.0
7.5,9.0
11.5,8.0
3.5,6.0
10.0,8.0
5.5,3.0
6.0,4.0
4.5,1.0
10.0,6.0
2.0,2.0
11.0,15.0
