MILANO CENTRALE,MILANO LAMBRATE,PIOLTELLO LIMITO
7.5,6.0,5.5
3.5,3.5,6.0
2.0,2.0,2.5
8.0,8.0,8.5
7.5,8.0,11.0
11.0,11.0,11.0
4.5,3.0,2.5
3.5,10.5,16.0
3.0,3.0,4.5
5.5,4.0,2.5
3.0,6.0,6.0
1.5,2.5,3.0
4.5,4.5,7.0
2.0,2.0,1.5
22.5,22.0,24.0
3.5,3.5,6.0
2.0,2.0,8.0
4.5,5.0,6.5
1.5,3.0,2.0
2.5,3.0,3.5
6.5,7.0,10.0
6.0,5.5,5.0
3.5,3.0,3.5
2.0,2.5,5.5
2.0,2.0,4.0
6.5,6.0,6.5
5.5,6.0,6.5
2.0,1.0,0.5
3.5,4.0,8.5
4.0,4.5,4.5
3.0,4.5,4.5
2.0,4.5,6.5
3.0,4.0,3.5
6.0,5.0,5.5
28.5,28.0,29.0
1.5,1.0,1.5
4.5,4.5,6.0
2.0,2.5,5.5
3.0,3.0,3.0
3.5,2.5,2.5
17.5,18.0,19.0
6.0,5.0,4.5
4.0,4.5,4.5
26.5,31.5,34.5
4.5,7.0,15.5
10.5,10.5,12.0
4.5,3.5,3.5
7.0,7.0,8.5
4.5,4.0,5.5
2.5,2.0,3.0
5.0,5.5,6.0
3.0,2.0,2.0
4.0,3.5,4.0
4.5,3.5,5.5
2.5,1.5,1.0
9.0,11.0,19.0
5.0,5.0,7.5
2.0,2.0,2.5
2.0,3.0,6.5
3.5,4.5,5.5
5.0,8.5,16.5
1.5,3.0,4.0
32.0,31.0,30.0
7.0,8.5,7.5
1.0,1.0,1.0
5.5,5.0,6.5
3.5,2.5,4.0
4.0,4.5,6.5
12.5,11.5,13.5
2.5,3.0,6.5
3.0,3.5,5.0
2.5,1.5,3.0
2.5,2.5,4.0
3.0,4.0,4.0
1.0,0.5,1.0
2.5,2.0,1.0
4.0,4.0,4.0
4.0,2.5,2.5
4.5,3.5,3.0
2.5,1.5,1.0
18.0,18.0,23.0
2.5,2.0,4.0
3.5,4.0,5.0
2.5,2.0,2.5
4.0,5.0,7.0
1.0,0.5,0.5
4.0,3.5,5.5
2.5,2.0,2.5
5.5,4.5,4.0
8.5,9.0,9.0
4.5,5.0,7.5
5.5,6.0,6.0
11.5,12.0,14.0
3.0,3.0,4.0
4.0,4.0,12.0
21.5,20.5,20.5
1.5,1.5,4.5
7.0,8.5,8.0
8.0,7.0,7.0
3.5,4.0,4.0
