PESARO,RIMINI
2.5,2.0
6.0,7.5
5.5,4.0
4.0,4.5
3.5,2.0
4.0,3.5
9.5,8.0
2.0,0.5
17.0,18.0
3.0,1.5
25.0,24.0
1.5,1.0
3.5,4.5
10.0,11.5
5.0,4.0
17.5,15.5
6.5,6.5
1.5,1.0
5.0,4.5
2.5,0.5
9.5,9.0
10.5,12.0
4.0,4.0
2.0,3.5
4.5,3.0
2.5,1.0
14.0,11.5
10.0,9.0
3.0,1.5
5.0,1.5
2.5,2.0
2.5,0.5
2.0,1.0
13.0,12.0
3.0,4.5
2.5,1.5
1.5,4.5
2.0,1.0
4.5,3.0
7.0,7.5
5.0,2.5
4.5,5.5
4.5,0.5
5.0,5.0
7.0,9.5
2.5,1.0
6.5,7.5
3.5,1.5
1.0,1.0
3.0,0.5
2.5,3.0
3.5,2.0
6.0,3.5
0.5,0.5
3.0,2.0
9.5,10.5
9.0,9.0
4.0,1.0
13.5,11.5
2.5,1.5
3.5,1.5
4.0,2.0
4.5,4.5
3.0,1.5
12.0,11.5
24.0,23.0
2.5,0.5
3.0,3.0
1.5,1.0
3.0,5.5
0.5,1.0
1.5,1.5
1.5,2.0
3.5,3.0
9.0,9.5
3.5,1.0
6.5,5.5
3.0,1.5
3.5,1.0
2.5,1.0
10.0,10.5
2.0,0.5
3.5,0.5
5.5,4.5
3.5,3.5
2.0,1.0
2.0,1.5
3.5,6.5
9.0,5.0
2.0,1.0
6.0,6.5
5.5,9.5
4.0,1.5
5.0,3.0
1.5,0.5
3.5,1.0
8.0,7.0
2.5,1.0
9.5,8.0
22.5,21.5
