LECCE,BRINDISI
1.5,0.0
1.5,-0.5
1.0,0.0
0.5,-1.0
1.0,2.0
1.5,0.0
1.0,-0.5
3.0,0.0
1.5,0.5
1.5,0.5
1.0,0.5
1.0,0.0
1.0,2.0
1.0,0.0
1.5,1.0
1.0,1.0
0.0,3.5
1.0,1.5
1.0,1.0
0.5,-0.5
0.5,0.0
1.5,0.0
0.5,-1.5
1.5,1.0
1.0,-0.5
1.5,1.5
1.5,-1.0
1.0,1.0
1.0,2.5
1.5,2.0
2.0,1.0
1.0,-0.5
1.5,0.0
1.0,0.0
1.0,-0.5
1.0,-0.5
1.0,-1.0
1.0,2.0
1.5,4.5
1.0,-0.5
0.5,-1.5
1.5,1.0
1.0,-1.5
1.0,-1.0
3.5,1.0
1.5,2.5
1.0,0.5
2.0,1.5
1.5,0.0
1.0,0.5
1.0,-1.0
0.5,0.0
1.0,-1.0
1.0,12.5
1.5,1.0
2.0,0.5
1.0,0.0
2.0,1.0
10.0,8.0
0.5,0.0
1.0,0.5
1.5,1.5
1.5,1.5
5.0,7.0
41.0,43.0
0.5,-1.0
1.5,2.0
1.0,2.0
1.0,-0.5
3.5,4.5
1.0,6.0
0.5,0.5
1.0,-0.5
1.0,-1.0
0.5,-1.0
0.5,-0.5
0.5,0.0
0.5,2.0
1.0,-0.5
1.5,5.0
1.0,2.0
1.0,0.5
1.0,5.0
3.5,2.5
2.0,-0.5
1.0,0.0
0.5,-0.5
1.0,1.0
1.0,11.5
2.0,2.0
1.0,0.0
1.0,0.0
2.0,10.5
1.5,43.0
1.5,1.5
2.0,1.5
2.0,1.0
1.0,0.0
1.5,0.0
1.0,2.5
