PIACENZA,S.STEFANO LODIGIANO
0.5,0.5
1.0,1.0
1.0,2.5
3.5,4.0
1.0,1.5
1.5,3.0
0.5,1.0
9.5,11.0
0.5,2.5
1.0,2.0
2.0,1.0
0.5,1.0
0.5,2.0
1.5,2.0
1.5,2.5
1.0,2.0
0.5,1.0
1.0,2.0
1.0,2.0
1.5,2.0
1.0,2.0
1.0,1.5
0.5,1.5
1.0,3.0
1.5,0.5
3.0,4.0
1.0,1.5
10.0,11.5
1.5,2.5
0.0,1.5
0.5,1.0
1.0,1.5
12.0,13.5
1.5,3.0
0.5,2.0
2.0,2.5
1.0,1.5
0.5,1.0
1.5,2.0
1.0,1.5
1.5,2.0
4.0,5.0
0.5,1.0
11.0,11.5
20.5,19.0
2.0,3.5
1.5,2.5
15.0,16.0
1.0,1.5
0.5,1.5
1.0,1.5
1.0,1.5
11.0,10.5
1.5,2.0
1.5,2.0
1.5,2.5
3.0,3.5
0.5,1.0
1.0,1.5
1.5,4.0
0.5,0.5
1.5,2.0
2.5,2.5
1.0,1.5
1.0,3.0
1.5,2.0
1.0,1.5
2.0,3.5
1.5,1.5
0.5,1.5
1.0,2.0
14.5,16.0
1.0,1.5
1.0,2.5
0.0,1.0
1.0,3.5
1.0,1.0
1.0,1.5
15.0,15.5
1.5,2.0
0.5,2.0
1.0,1.0
0.0,0.5
0.5,1.0
2.5,4.0
2.0,2.5
2.0,3.0
0.5,1.5
2.0,3.0
1.5,0.5
2.0,3.0
0.5,1.0
1.0,2.5
0.5,2.0
1.5,3.0
29.0,30.0
1.5,1.5
0.5,2.0
5.0,5.5
2.5,3.0
