PORTOMAGGIORE,ARGENTA
2.5,2.0
2.5,1.5
1.0,3.0
36.5,33.5
1.0,-0.5
2.0,1.5
0.0,-1.0
1.5,0.5
1.5,0.5
1.0,0.0
1.0,0.0
0.0,-0.5
1.5,3.5
1.0,-1.0
1.5,-0.5
2.0,0.5
2.0,0.5
0.5,0.5
28.0,29.0
5.5,3.5
0.0,-1.5
0.0,-1.5
1.0,0.5
0.5,0.5
2.5,1.0
-0.5,-1.0
0.5,-1.0
3.5,4.0
1.0,2.0
-0.5,-1.5
2.0,1.5
1.0,-1.0
-0.5,-1.5
1.0,-0.5
-0.5,1.0
1.5,-0.5
2.0,1.0
1.0,0.5
5.0,3.0
0.5,1.0
0.5,1.5
1.5,1.5
0.5,-1.5
-1.0,-0.5
0.5,0.5
1.0,1.5
1.0,-0.5
1.5,2.0
0.0,-0.5
-0.5,-0.5
2.0,0.5
1.0,-0.5
1.0,-0.5
1.5,1.0
1.5,0.0
1.0,-0.5
3.5,3.0
1.0,2.0
1.0,0.0
0.0,-1.0
0.5,2.0
1.5,3.0
-0.5,-1.5
0.5,0.0
0.5,7.0
24.5,29.0
1.5,1.0
2.0,1.0
0.0,0.5
0.5,-0.5
2.0,0.5
0.5,-1.0
1.5,0.5
0.5,-1.0
0.5,0.0
0.0,-1.5
0.0,1.0
0.5,1.0
1.5,-1.0
0.0,-1.0
13.0,10.5
3.5,1.5
1.5,0.5
1.0,0.0
1.0,0.5
2.0,0.5
2.5,5.0
1.0,-0.5
31.5,30.0
25.0,24.0
2.5,0.5
0.0,-1.5
4.0,3.0
1.0,-0.5
0.5,-1.0
1.5,1.0
6.5,7.0
2.0,0.5
1.5,0.0
3.0,1.0
