OSTUNI,FASANO
0.0,-0.5
0.0,1.0
2.0,1.5
0.0,0.0
2.0,1.5
5.0,4.0
1.5,0.0
2.5,2.0
1.0,0.5
-1.5,-0.5
2.0,1.5
2.0,1.5
2.5,2.5
2.0,2.0
2.5,2.0
-1.5,-0.5
1.0,0.0
0.5,0.0
2.0,2.0
1.0,1.5
2.0,1.5
1.5,1.0
1.5,1.5
2.5,1.5
1.5,1.0
0.0,1.0
13.5,13.0
0.5,1.0
2.0,1.5
2.5,2.0
1.0,0.5
11.0,10.0
1.0,1.0
0.5,1.0
5.5,5.0
-1.0,0.0
0.0,-0.5
-1.0,0.0
4.0,4.5
5.5,5.0
1.5,1.5
1.5,1.5
1.5,0.0
2.5,2.5
3.5,3.5
-1.5,-0.5
41.5,41.0
1.0,0.5
1.0,0.5
2.5,2.5
1.0,0.5
1.5,1.0
0.5,0.0
-1.5,0.0
2.0,2.0
0.5,-0.5
2.5,2.0
3.5,6.5
1.5,1.0
2.5,2.0
3.5,3.0
1.0,0.5
1.0,1.0
1.0,1.0
3.0,2.5
0.0,0.0
2.0,3.0
23.5,23.0
5.5,4.5
2.5,2.0
0.0,-0.5
11.5,11.0
-2.0,0.0
5.5,4.5
-1.5,0.0
-1.0,0.0
5.5,5.0
2.5,2.0
2.5,2.0
-0.5,-0.5
0.0,0.0
0.0,-0.5
12.0,13.5
1.5,0.5
1.5,1.0
1.0,0.5
-0.5,0.0
2.5,3.0
-1.0,-0.5
1.5,1.5
6.5,6.5
3.0,2.5
14.0,13.0
4.0,4.0
0.0,-0.5
-0.5,0.0
18.0,17.0
2.0,1.5
0.5,0.0
3.0,2.5
