OZZANO DELL'EMILIA,CASTEL S.PIETRO TERME
4.5,2.5
5.5,4.0
14.5,12.0
4.0,2.0
4.0,1.5
7.0,5.5
3.0,2.0
2.5,1.0
5.0,3.5
3.0,2.5
4.0,3.0
3.5,2.0
3.5,1.5
4.0,2.0
2.0,1.0
8.0,7.0
15.5,14.0
7.0,5.5
1.5,-0.5
6.5,5.0
6.0,4.5
2.5,0.5
3.5,2.0
5.5,4.5
7.0,9.5
7.5,5.0
4.5,3.0
60.5,61.0
10.5,8.5
3.0,1.5
10.5,8.5
12.5,11.0
11.5,10.5
8.0,7.5
2.5,1.0
5.0,4.0
3.5,1.5
19.0,17.5
4.0,2.5
2.0,0.0
7.5,6.0
7.0,6.0
20.0,19.0
2.0,1.5
5.5,4.0
10.0,8.5
13.0,12.5
1.0,-0.5
6.5,4.5
9.5,8.0
6.0,6.0
4.0,2.0
4.0,7.0
4.5,3.0
2.0,0.0
6.0,4.5
3.0,1.5
5.0,4.0
5.0,3.5
16.5,15.5
5.0,3.5
5.5,5.0
3.0,1.5
3.0,1.5
6.5,4.5
1.5,0.5
23.0,22.5
3.5,1.5
11.0,10.0
3.0,2.5
10.5,9.5
2.0,1.5
5.0,3.5
2.5,1.5
3.5,2.0
10.0,8.0
1.0,1.5
2.0,0.0
2.0,1.0
6.5,6.5
12.0,10.5
1.5,0.0
6.5,5.0
7.0,5.0
4.0,2.5
2.5,2.0
5.0,4.0
9.5,10.0
3.0,2.0
8.0,7.0
5.0,4.0
5.0,4.5
5.0,3.5
6.5,5.0
2.0,0.0
3.5,1.5
4.0,3.0
6.0,4.5
3.0,1.5
3.0,1.5
