BOLOGNA C.LE,MODENA
2.0,7.5
1.5,2.0
1.0,-1.0
1.0,0.0
1.0,-4.5
1.5,1.5
8.5,0.5
2.5,5.0
1.5,2.0
2.5,-0.5
1.0,2.0
5.5,1.5
1.5,10.5
2.0,5.5
1.5,1.0
10.5,7.0
3.0,20.0
3.0,-5.5
2.0,-8.0
1.0,3.0
1.5,0.0
1.0,4.0
2.0,-4.5
1.5,4.5
1.5,-14.5
1.0,-5.0
2.5,-1.5
2.0,-1.5
3.0,-8.0
1.0,-15.5
1.0,4.0
2.0,3.5
2.0,4.5
1.5,-10.0
3.5,-1.0
1.5,1.0
1.0,-1.5
0.0,0.0
1.0,-1.5
2.0,-3.5
3.0,5.5
1.5,-4.5
1.0,-4.0
2.0,-2.5
1.0,0.0
1.5,-6.0
2.0,-15.5
1.5,1.5
2.0,-5.0
5.0,1.0
4.0,8.0
1.5,-4.5
1.0,0.0
1.0,3.0
1.5,2.5
3.5,-13.0
3.0,-1.5
3.5,-3.5
1.5,2.0
1.0,5.5
2.0,1.5
2.5,-3.0
1.0,2.0
1.5,1.5
5.5,4.5
1.5,2.0
2.0,5.5
1.5,-1.5
1.5,2.0
1.0,4.0
1.0,-1.5
1.0,-8.0
1.5,0.0
3.5,-0.5
1.0,1.0
1.5,3.5
2.0,48.5
1.0,4.5
1.0,0.0
1.0,1.0
2.5,0.5
1.0,-6.5
2.0,0.0
2.0,4.0
1.5,-0.5
2.5,-5.5
2.0,-0.5
2.0,1.5
2.0,-1.0
1.0,0.0
1.5,3.0
1.0,2.5
1.5,-9.5
1.5,0.0
2.0,2.5
2.5,3.0
1.0,3.5
2.0,-4.0
1.0,-3.0
1.0,2.5
