ANCONA,PESARO
2.0,2.0
6.5,5.0
0.0,0.5
-5.0,-1.0
2.0,3.0
1.0,3.5
3.0,21.0
-1.5,-1.0
21.0,26.0
1.5,7.0
2.0,1.0
-1.5,-2.0
0.5,0.5
5.5,3.5
0.0,4.5
1.0,0.5
10.0,10.0
2.5,4.5
1.0,2.5
0.5,1.0
1.0,3.5
-4.5,1.0
2.0,4.0
11.5,15.0
7.5,7.0
12.5,16.0
4.0,18.0
1.0,9.0
1.5,6.5
8.5,21.5
4.0,8.0
1.0,0.0
134.0,135.5
9.0,8.5
0.0,3.0
4.0,5.0
2.5,8.5
1.0,0.5
1.5,4.5
1.5,3.5
-4.0,2.0
2.5,0.5
-1.0,-2.0
2.0,3.0
0.5,2.5
-1.0,-3.5
0.0,-1.0
2.0,2.5
4.0,3.5
1.0,2.5
0.5,4.0
5.0,4.0
0.5,-0.5
1.0,3.5
4.0,2.0
16.5,17.0
5.5,6.0
7.5,8.0
1.0,0.0
5.0,4.5
0.5,2.0
2.0,1.5
7.0,6.0
1.0,2.0
5.0,4.0
1.5,0.5
0.5,-0.5
2.0,2.5
-5.0,1.5
-2.5,1.5
15.0,13.0
0.5,5.0
1.5,0.0
-3.5,1.5
1.5,4.0
1.0,3.5
1.0,1.0
88.5,99.0
0.5,1.5
-3.5,-2.0
2.0,3.5
1.0,1.5
1.0,1.0
-5.0,0.0
1.5,4.0
1.0,-1.0
-4.0,1.0
4.0,5.0
1.5,1.5
1.5,8.5
29.5,33.5
3.0,2.0
1.0,0.0
1.5,0.0
-1.5,13.5
3.0,4.0
0.5,0.0
0.5,1.0
1.0,1.0
6.5,5.0
