PESCARA,S.BENEDETTO DEL TRONTO
0.5,1.0
9.0,10.0
1.0,2.5
1.0,0.0
1.0,4.0
2.0,5.5
1.5,8.0
1.5,3.5
3.0,3.0
2.0,3.0
1.0,7.0
1.5,3.5
1.0,1.5
1.0,6.0
1.5,2.0
2.0,3.0
1.5,11.5
0.5,0.0
0.5,1.0
0.5,3.0
1.0,1.0
0.5,0.5
1.5,4.0
1.5,2.0
0.5,8.5
1.5,8.0
2.5,3.5
0.5,1.5
1.0,2.0
0.5,2.5
2.5,4.5
1.5,2.0
1.0,5.0
1.0,2.5
1.5,2.0
2.0,2.0
0.0,1.5
1.0,1.0
1.0,4.5
3.0,5.5
1.0,0.5
1.5,3.0
0.5,4.0
0.5,3.5
1.0,1.0
1.0,2.5
1.5,1.5
2.5,1.5
1.0,10.0
1.5,2.5
1.0,0.0
0.0,6.0
1.5,4.0
0.5,1.0
0.5,8.0
1.0,13.5
1.0,1.5
0.5,12.0
2.0,1.5
1.0,7.5
1.0,1.5
1.0,7.0
2.5,10.0
2.0,1.5
2.0,1.0
1.5,3.0
1.0,1.5
1.0,2.5
1.5,1.0
1.5,2.0
0.5,2.5
0.5,2.0
0.5,2.0
1.5,1.5
1.0,2.5
0.5,1.5
0.5,1.0
89.0,90.5
1.0,1.5
0.5,2.0
2.0,3.0
1.0,1.5
0.5,2.5
0.5,1.5
2.5,2.5
1.5,1.5
1.5,2.0
0.5,7.0
1.0,5.0
1.5,2.0
0.5,32.5
1.0,1.0
1.0,2.5
1.5,2.0
1.5,0.5
0.5,7.0
0.0,2.0
1.5,1.0
1.0,2.5
1.0,1.0
