GIOIA DEL COLLE,BARI CENTRALE
-0.5,-7.5
0.0,-4.0
-0.5,-6.0
-1.0,0.0
0.0,-5.0
0.0,-6.0
-1.0,-6.5
0.5,-5.0
-0.5,-3.0
4.0,0.0
0.5,-5.5
0.5,-4.0
1.5,-2.0
2.0,-2.5
3.0,-2.5
-0.5,-4.0
2.0,-3.5
0.5,-5.0
0.5,-7.0
12.5,6.0
3.0,1.0
2.5,-1.5
5.0,-0.5
1.0,-4.5
1.0,0.0
1.0,-1.0
1.0,-5.5
4.0,-2.0
1.5,-1.5
1.5,-5.0
-2.0,-4.5
2.0,-5.0
0.5,-5.5
1.5,-4.5
1.5,18.0
5.5,-1.5
0.5,-5.0
2.0,-4.0
2.0,-4.0
3.5,-1.0
3.5,-2.5
-1.0,-5.0
2.5,-4.5
17.5,11.0
3.0,-2.0
2.5,-1.0
1.5,-4.5
7.5,1.5
1.5,-5.5
1.5,-1.5
2.0,-3.5
21.0,14.0
2.0,-1.0
2.0,-4.0
1.5,-4.0
6.5,2.5
3.5,2.5
4.0,-2.5
5.5,0.0
4.0,-2.0
-0.5,-5.0
1.5,-1.5
2.0,-5.5
4.5,0.0
2.5,-3.0
1.5,-6.0
3.0,-2.5
5.5,-1.0
1.0,-6.0
1.5,-5.5
0.0,-5.5
7.5,-0.5
6.0,4.5
4.5,-2.5
2.0,-2.0
0.5,-5.5
-1.0,-3.5
8.5,0.0
4.0,-0.5
-0.5,0.0
4.0,-0.5
1.0,-3.0
1.0,-5.0
3.5,-2.5
-1.5,-2.0
2.0,-4.5
1.0,-5.5
3.5,2.5
7.0,1.5
0.0,-5.0
4.0,0.0
2.5,0.0
0.0,-6.0
4.5,0.0
1.0,-6.0
2.0,-4.0
2.0,-2.5
6.0,0.5
-0.5,4.0
3.5,11.0
