BOLOGNA C.LE,FAENZA
1.5,7.0
35.5,36.0
1.5,2.5
2.0,6.0
1.5,2.0
5.5,5.5
3.5,5.5
0.5,1.0
1.5,13.0
1.0,8.0
1.0,8.0
1.0,7.5
1.5,6.0
1.0,1.0
1.0,7.5
1.0,2.0
1.5,1.5
2.0,11.5
7.5,23.0
2.5,9.0
1.0,4.5
1.5,6.5
1.0,6.5
7.0,10.5
27.5,32.5
1.5,9.0
1.0,3.0
2.0,6.5
1.5,5.0
1.0,10.5
1.0,5.5
1.0,2.5
1.5,1.5
1.0,3.5
1.5,3.5
2.0,6.5
1.0,4.5
1.0,14.5
1.5,3.5
1.5,5.0
2.5,5.0
2.5,2.5
1.5,4.5
1.5,2.5
2.0,2.5
8.5,11.0
1.0,4.5
0.5,5.0
1.5,6.0
1.5,1.5
1.5,5.0
1.5,1.0
2.0,0.5
1.5,2.5
1.5,7.0
2.0,3.5
3.5,8.0
2.0,6.5
1.0,11.0
1.5,6.0
1.5,7.0
1.5,3.0
4.0,10.5
1.0,2.5
0.5,3.5
9.0,12.5
1.0,4.0
1.5,5.5
1.5,3.0
1.5,4.0
1.5,3.5
1.0,7.5
2.0,2.5
2.0,6.0
2.0,8.5
1.0,6.0
4.5,9.5
1.0,4.5
1.5,9.5
1.0,2.5
1.5,17.5
1.0,2.5
1.0,0.5
1.5,2.5
1.5,2.5
1.5,5.0
1.5,5.0
1.5,3.0
2.0,5.5
1.5,6.5
1.5,4.5
1.5,10.5
1.5,17.0
1.0,2.5
13.5,16.5
1.0,4.0
3.5,6.5
2.0,3.5
2.0,6.0
2.0,7.0
