VARIGNANA,OZZANO DELL'EMILIA
9.0,8.0
3.0,2.0
8.0,7.0
4.0,3.0
4.0,3.0
2.5,1.5
1.0,1.5
3.0,2.5
5.5,4.5
44.0,44.5
1.5,1.5
3.0,2.0
9.0,8.0
5.5,4.5
2.0,1.5
11.0,11.0
2.5,2.0
4.5,3.5
3.5,3.0
3.0,2.0
6.5,5.5
3.5,3.0
5.5,4.5
5.5,4.5
4.0,3.0
4.0,3.0
3.5,3.0
3.5,2.5
5.0,4.0
5.0,4.0
17.5,16.0
13.5,13.0
11.0,10.5
2.0,1.0
3.0,3.0
3.5,3.0
8.0,7.5
3.5,3.0
6.5,6.0
4.0,3.5
5.5,5.0
2.0,2.0
9.0,8.5
4.0,4.5
3.5,2.5
14.0,13.5
7.5,7.5
2.5,2.0
3.0,2.5
3.5,3.0
7.0,6.0
4.0,3.0
5.5,4.5
8.5,8.0
5.5,4.5
1.5,1.0
4.0,3.5
2.5,3.0
2.0,1.0
3.5,2.5
8.0,7.0
3.0,2.0
9.5,9.0
15.0,14.5
2.5,1.5
5.0,4.0
3.0,2.0
5.5,5.0
30.5,29.0
4.0,3.5
2.5,2.0
15.5,15.0
3.5,2.0
4.0,3.5
4.0,3.5
4.0,3.5
2.0,1.5
9.5,8.5
3.5,3.0
10.0,9.0
7.0,7.0
12.5,12.0
4.0,3.5
3.5,2.5
3.0,2.5
4.5,4.0
4.5,3.5
2.0,1.5
3.0,2.0
10.0,8.5
4.5,3.5
7.5,6.5
1.5,1.0
9.5,9.0
6.0,5.5
3.0,2.0
4.5,3.5
7.5,7.0
3.0,2.5
9.0,8.0
