SAN GIOVANNI IN PERSICETO,CREVALCORE
4.0,3.0
22.5,22.0
3.5,2.5
4.5,4.0
18.5,18.5
4.5,4.0
5.0,4.0
2.5,1.5
1.5,1.0
1.5,0.5
7.0,6.5
4.0,3.0
3.5,2.5
4.5,8.5
17.0,16.0
3.5,2.5
13.0,12.5
3.0,2.5
1.5,0.5
4.0,2.5
1.5,0.5
12.0,11.0
1.5,0.5
2.5,1.0
2.5,2.0
16.5,15.5
4.0,3.0
3.0,2.0
10.5,9.5
2.0,1.0
2.0,1.0
5.0,4.0
2.0,1.0
2.5,1.5
5.5,5.0
20.0,19.0
5.0,3.5
2.5,1.0
3.5,3.5
5.0,4.0
2.5,1.0
4.5,3.0
9.0,8.0
1.5,0.5
3.5,2.0
34.5,33.5
5.0,4.5
1.5,0.0
5.5,4.0
2.0,1.0
1.5,1.0
7.0,6.0
3.5,2.5
2.0,1.0
1.5,0.0
2.0,0.5
1.5,1.0
7.0,6.5
1.5,0.0
3.0,1.5
5.0,4.0
3.0,2.5
17.0,16.5
2.0,1.0
12.0,10.5
5.5,5.0
19.0,17.5
4.5,4.0
10.0,8.5
3.5,3.0
2.5,1.5
1.5,0.5
10.5,9.0
3.0,2.0
18.5,17.5
1.5,0.0
2.5,1.0
3.5,2.5
15.5,14.0
2.0,0.5
11.5,11.5
1.5,0.5
3.0,2.0
4.5,4.0
1.5,0.0
5.0,4.0
10.0,8.5
2.5,1.0
2.0,1.0
13.5,12.5
3.5,2.0
5.0,4.0
1.5,1.0
5.0,4.0
5.0,3.5
1.5,0.5
14.0,12.5
5.5,5.0
2.5,1.5
3.0,1.5
