MODENA,REGGIO EMILIA
4.5,4.5
1.5,3.0
9.0,7.0
3.0,2.5
4.5,5.5
4.0,6.0
3.0,3.5
3.5,4.5
3.0,2.5
3.0,6.0
1.0,-1.0
3.5,15.5
2.5,2.5
1.0,0.0
1.0,0.0
4.5,4.0
2.0,8.5
4.0,3.5
2.0,1.0
10.5,10.0
2.0,1.0
2.5,1.5
1.0,0.0
1.5,14.0
3.0,4.0
2.5,2.0
2.5,4.5
4.5,4.5
4.5,8.5
-0.5,1.0
3.5,4.5
0.5,0.5
5.0,4.0
3.5,5.5
3.5,3.5
18.5,17.5
-1.0,-1.0
8.5,9.0
4.5,12.0
1.0,1.5
10.5,15.5
7.5,7.0
4.0,4.0
2.5,3.0
8.0,6.5
15.5,15.5
0.5,0.5
4.5,4.5
3.0,6.0
1.0,0.0
1.5,0.0
4.5,4.5
7.5,11.0
1.0,-0.5
5.5,6.5
-1.0,3.5
42.0,42.5
22.0,20.5
3.0,5.5
2.5,2.5
0.0,4.0
0.5,0.0
6.5,5.5
6.5,7.0
5.0,5.5
7.5,6.5
1.0,2.5
3.0,2.5
1.5,0.0
1.5,0.5
1.5,20.5
1.0,0.5
16.5,16.0
2.0,1.0
4.0,3.0
4.0,10.5
15.5,18.5
2.5,3.5
1.5,3.0
1.0,0.0
1.0,9.0
0.5,2.5
-0.5,-0.5
0.0,0.0
2.0,1.5
0.0,3.5
1.5,1.5
8.0,17.5
1.5,4.5
1.5,0.5
2.0,1.0
4.0,3.5
7.5,8.5
4.0,3.5
3.0,4.0
22.5,22.0
8.0,7.0
81.0,81.0
7.5,7.0
1.5,1.5
