ALTOPASCIO,PESCIA
4.0,4.0
8.0,6.0
2.0,0.5
11.0,8.5
2.0,0.5
6.0,5.0
11.0,9.5
9.0,6.5
28.5,26.5
10.0,8.0
3.5,2.0
8.0,5.5
8.5,6.5
8.0,5.5
7.0,4.5
3.5,1.0
6.5,4.0
3.5,1.5
9.5,8.5
3.5,1.0
6.0,5.5
9.5,8.0
8.0,5.0
2.0,1.0
3.5,1.0
1.5,-0.5
4.5,2.5
4.5,2.0
0.5,-2.0
6.5,5.0
6.0,5.0
5.5,3.0
18.5,16.0
5.0,3.0
5.5,4.5
3.0,0.5
2.5,0.5
7.5,6.0
26.5,26.5
6.5,10.5
6.0,3.5
7.0,5.0
8.0,6.0
0.5,-2.0
17.0,15.0
34.5,38.5
2.0,1.0
13.5,12.0
12.0,9.5
1.5,-0.5
6.5,4.0
7.5,6.0
11.0,8.0
6.0,4.0
4.5,2.0
3.0,0.5
7.5,5.0
5.0,2.5
7.5,5.5
12.5,12.0
11.5,12.0
2.0,0.0
8.5,6.0
4.5,2.5
9.5,8.5
5.0,3.0
11.5,11.0
8.0,5.5
10.0,7.5
10.0,7.0
8.0,8.0
5.5,3.5
8.0,6.5
7.0,3.5
7.0,5.5
3.0,1.0
3.5,1.5
2.0,-0.5
11.5,13.0
4.0,1.0
13.0,12.5
0.5,0.0
5.5,3.0
6.0,8.5
10.0,8.5
1.0,-1.0
11.0,9.0
1.0,-1.0
2.5,0.5
14.5,12.5
4.0,3.0
15.0,13.0
2.0,-0.5
10.0,7.5
5.5,5.0
3.0,5.0
20.5,18.5
1.0,-1.0
5.0,3.0
4.0,1.5
