FERRANDINA,POTENZA INFERIORE
1.5,-3.5
1.0,-2.5
1.0,14.0
2.5,-1.5
0.5,-2.5
1.0,-0.5
0.0,-4.0
0.5,-3.0
0.5,0.5
0.5,-2.5
2.0,-3.0
-0.5,-4.5
20.5,15.5
2.5,-2.0
2.0,-3.0
-0.5,-3.0
0.5,-2.0
2.5,-0.5
0.5,-3.0
2.0,-0.5
1.0,-2.0
-0.5,-5.5
1.0,-1.0
3.0,57.0
10.5,6.5
3.0,-0.5
-0.5,-5.5
-0.5,-5.5
0.0,-4.0
0.0,0.0
1.0,1.0
0.5,-1.0
0.5,-2.5
0.0,3.0
0.5,-3.5
0.5,-4.5
0.0,16.0
1.5,0.5
1.0,0.0
0.5,-2.0
0.5,-4.0
1.5,3.0
0.0,-3.5
1.5,0.0
27.0,26.5
2.5,6.0
4.5,46.5
1.0,3.0
2.0,-1.5
0.5,-2.5
1.0,-2.5
1.5,-1.0
22.5,17.5
4.5,8.0
0.5,-3.5
1.0,-4.5
0.5,0.5
2.0,-3.0
2.0,-1.5
1.5,-2.0
1.5,-1.0
4.0,0.0
0.0,-2.5
1.0,-3.0
6.5,1.5
1.5,3.5
1.0,-3.0
3.5,2.0
-0.5,3.5
0.5,-2.0
1.5,-2.0
0.0,-3.5
-0.5,3.0
1.0,-4.0
0.0,-5.0
-0.5,-5.5
1.0,-5.0
0.0,-5.0
2.0,-0.5
1.0,1.0
1.0,1.5
-0.5,-4.0
16.0,12.0
-0.5,-4.0
0.0,-1.5
0.5,-2.5
2.0,-2.5
0.5,-3.0
1.0,-2.5
3.0,-1.0
2.5,-2.0
0.5,-1.5
-0.5,-5.0
0.5,-4.5
1.0,-3.5
0.0,-5.0
4.0,2.0
4.0,-0.5
-1.0,-4.0
2.5,2.5
