MILANO ROGOREDO,LODI
-2.0,2.5
-3.0,3.5
7.0,7.5
-5.0,2.5
-2.5,3.0
-3.0,2.5
0.5,4.0
-3.5,1.0
-2.5,2.5
-1.5,2.5
0.5,3.0
14.5,17.5
-5.0,1.0
-3.0,2.5
4.5,7.0
-4.5,2.5
0.0,9.5
-2.5,3.0
-2.0,2.0
0.0,5.0
-4.0,2.5
-4.5,0.5
1.0,17.5
-2.0,1.5
-1.0,4.5
-1.0,3.0
-3.5,2.5
-5.0,7.5
-4.0,0.5
32.0,33.0
-1.0,5.0
0.0,5.5
-5.0,1.0
0.0,2.0
1.0,5.5
10.5,11.0
-3.0,1.5
17.0,21.5
-4.5,1.0
-3.5,3.0
-3.0,2.0
-4.5,0.5
-4.5,1.5
-4.5,2.0
-2.5,1.5
-1.5,0.0
19.0,20.5
0.0,2.0
-4.0,3.0
2.5,7.0
7.0,8.0
1.0,2.0
2.0,4.0
-1.5,1.0
0.5,8.0
-1.0,5.0
25.0,29.0
-3.0,5.0
-2.0,2.5
-2.5,5.0
-3.5,1.5
1.5,4.0
-4.5,2.5
-3.5,5.0
-4.0,2.0
-2.0,2.5
57.0,57.5
-2.0,2.0
6.5,16.5
-2.5,5.0
-3.5,1.0
0.0,3.5
-3.5,2.0
-3.5,4.5
-2.5,3.5
-2.0,0.5
4.5,5.5
-1.0,11.0
-4.0,2.0
24.0,30.5
-4.0,1.5
-2.5,3.0
30.5,30.5
-4.0,5.5
5.5,7.0
-5.0,5.0
0.5,9.0
-4.0,5.0
-4.5,1.5
3.0,4.5
-3.0,1.0
-2.0,2.0
-3.0,1.5
-4.0,3.0
-5.0,2.0
-4.5,1.5
-4.0,3.5
-2.0,7.0
-2.5,5.0
-5.0,3.0
