PIACENZA,S.STEFANO LODIGIANO,CODOGNO
0.5,0.5,-1.5
1.0,1.0,-1.5
1.0,2.5,0.0
3.5,4.0,0.5
1.0,1.5,-1.5
1.5,3.0,0.5
0.5,1.0,0.0
9.5,11.0,8.0
0.5,2.5,0.0
1.0,2.0,-0.5
2.0,1.0,0.0
0.5,1.0,-2.0
0.5,2.0,0.5
1.5,2.0,-0.5
1.5,2.5,-1.0
1.0,2.0,-1.0
0.5,1.0,-2.0
1.0,2.0,0.0
1.0,2.0,0.0
1.5,2.0,0.0
1.0,2.0,0.5
1.0,1.5,-1.0
0.5,1.5,-1.0
1.0,3.0,0.0
1.5,0.5,1.5
3.0,4.0,1.5
1.0,1.5,-2.0
10.0,11.5,10.0
1.5,2.5,0.0
0.0,1.5,-1.0
0.5,1.0,-1.0
1.0,1.5,-1.0
12.0,13.5,11.0
1.5,3.0,0.5
0.5,2.0,-0.5
2.0,2.5,-0.5
1.0,1.5,-1.0
0.5,1.0,-2.5
1.5,2.0,-1.0
1.0,1.5,-1.0
1.5,2.0,-1.0
4.0,5.0,1.5
0.5,1.0,-2.0
11.0,11.5,8.5
20.5,19.0,17.0
2.0,3.5,1.5
1.5,2.5,0.5
15.0,16.0,13.0
1.0,1.5,-1.0
0.5,1.5,-1.5
1.0,1.5,-1.5
1.0,1.5,-1.5
11.0,10.5,9.5
1.5,2.0,-1.0
1.5,2.0,3.5
1.5,2.5,0.0
3.0,3.5,0.5
0.5,1.0,-1.5
1.0,1.5,-1.0
1.5,4.0,1.0
0.5,0.5,-2.0
1.5,2.0,-0.5
2.5,2.5,-1.0
1.0,1.5,-1.5
1.0,3.0,1.0
1.5,2.0,-0.5
1.0,1.5,-0.5
2.0,3.5,0.5
1.5,1.5,-1.5
0.5,1.5,-1.0
1.0,2.0,-0.5
14.5,16.0,13.0
1.0,1.5,-0.5
1.0,2.5,0.0
0.0,1.0,3.5
1.0,3.5,1.5
1.0,1.0,-1.5
1.0,1.5,-1.0
15.0,15.5,12.0
1.5,2.0,0.0
0.5,2.0,-1.0
1.0,1.0,-1.5
0.0,0.5,-2.5
0.5,1.0,-1.0
2.5,4.0,2.0
2.0,2.5,0.0
2.0,3.0,0.0
0.5,1.5,-1.5
2.0,3.0,0.0
1.5,0.5,-0.5
2.0,3.0,-0.5
0.5,1.0,-1.5
1.0,2.5,-0.5
0.5,2.0,-1.0
1.5,3.0,-0.5
29.0,30.0,29.5
1.5,1.5,-2.0
0.5,2.0,0.0
5.0,5.5,2.5
2.5,3.0,0.5
