PARMA,REGGIO EMILIA,MODENA
1.5,2.5,1.5
0.0,2.0,1.0
1.5,6.5,7.5
0.5,3.5,3.0
0.5,3.5,4.0
0.5,3.5,5.0
0.5,2.5,2.5
0.5,5.5,6.0
3.0,5.5,6.0
0.0,8.5,9.0
2.0,3.5,3.0
0.0,2.5,2.0
0.0,4.5,6.0
0.0,4.0,6.0
4.5,7.5,7.5
0.0,4.0,3.5
0.0,3.5,3.0
1.0,3.0,2.5
1.5,2.0,1.0
5.5,8.0,7.5
0.0,3.5,17.0
0.5,5.5,5.0
2.0,4.0,5.0
0.0,4.0,4.5
1.5,5.0,6.5
1.0,2.5,3.5
0.0,6.0,5.0
1.5,4.0,4.0
0.5,3.0,2.0
0.5,3.0,3.5
2.0,4.5,4.5
0.0,2.0,1.5
0.5,3.0,3.0
2.5,4.5,6.0
0.0,5.0,6.0
0.5,4.5,4.5
0.5,5.0,7.0
2.0,5.0,5.0
0.0,4.5,6.0
1.5,5.0,4.5
2.0,8.5,9.5
0.0,1.0,2.0
3.0,5.0,5.5
0.0,2.0,2.0
0.0,1.5,1.5
4.5,7.5,9.5
0.0,4.5,3.5
0.5,7.5,6.5
0.0,3.0,3.5
0.0,1.5,0.5
0.0,4.0,3.0
0.0,3.0,3.5
0.0,3.5,3.0
0.0,3.0,9.5
0.5,3.5,4.5
1.0,2.0,0.5
0.5,3.0,2.5
1.5,5.5,4.5
0.5,2.5,2.5
0.5,11.0,11.0
0.0,6.5,6.0
0.0,2.0,2.0
0.0,4.0,4.0
0.0,4.0,5.0
2.0,5.0,4.0
1.5,3.5,3.5
0.0,3.5,3.5
0.5,2.0,1.5
0.5,3.0,3.0
0.0,4.5,4.5
1.0,2.0,2.0
0.5,5.0,5.0
0.0,1.5,0.5
0.0,3.0,2.0
0.0,4.0,4.5
32.0,34.0,35.5
0.0,4.0,3.5
3.5,7.0,6.5
1.5,4.0,5.0
1.0,3.5,5.0
1.0,2.5,2.5
1.5,2.0,2.5
0.5,2.5,2.0
0.0,2.0,1.5
0.5,2.5,2.5
0.0,1.0,1.0
0.5,3.5,3.5
2.0,5.0,5.0
0.0,11.0,22.0
0.5,4.0,3.0
0.0,9.0,8.5
0.5,3.0,2.0
1.5,3.5,4.0
4.0,8.5,10.0
0.0,3.0,2.5
0.0,2.5,2.0
1.5,4.0,5.0
0.0,3.5,3.0
0.5,3.5,4.0
0.0,6.5,6.0
