VENEZIA MESTRE,PADOVA,TERME EUGANEE-ABANO-MONTEGR.
2.5,3.5,0.0
1.0,2.0,-1.0
2.0,3.5,0.5
3.0,4.0,24.5
1.5,2.0,1.5
2.5,4.0,0.5
1.5,2.5,-0.5
0.5,1.0,-3.0
1.0,4.0,0.0
2.0,5.0,2.0
1.5,7.5,5.5
2.0,5.0,1.5
1.5,2.5,-1.0
1.0,2.0,-1.5
11.5,12.0,11.5
2.0,4.5,1.0
1.5,3.0,-0.5
2.0,2.5,0.5
2.5,4.5,2.5
5.5,6.5,3.5
1.5,3.0,-0.5
1.0,1.5,1.0
1.0,2.0,-1.0
3.0,3.0,-1.0
0.5,10.5,8.0
0.5,2.5,-1.0
2.0,3.0,-0.5
15.5,16.5,13.5
3.5,4.0,1.5
1.0,2.5,0.0
0.5,1.5,-2.0
1.5,3.5,0.0
2.0,3.5,1.0
2.5,4.0,1.0
2.5,2.5,-1.0
3.0,4.5,2.0
1.0,3.0,0.5
3.0,4.5,1.0
1.0,1.5,-2.0
1.0,3.5,0.0
4.0,9.5,22.5
3.0,5.0,1.5
1.0,3.0,1.0
2.0,2.0,-0.5
2.0,4.0,1.5
2.0,3.0,4.0
1.0,2.0,-2.0
1.0,2.0,-1.0
1.0,2.0,0.5
1.0,3.0,0.0
0.0,0.5,-2.0
1.5,2.0,-1.0
1.0,1.5,-1.5
1.5,3.0,-0.5
1.0,3.0,0.5
2.0,2.0,1.0
0.5,2.5,1.0
1.0,3.5,1.0
1.5,4.0,0.5
2.0,4.0,1.5
0.5,2.0,-1.5
2.0,3.0,0.0
1.5,2.5,1.0
2.5,3.0,0.0
2.5,2.5,-1.0
0.5,7.0,6.0
1.0,4.5,2.0
1.5,3.0,2.0
1.0,1.5,0.0
0.5,2.5,7.5
1.0,16.5,14.0
1.5,5.0,1.5
1.0,3.0,0.0
1.0,1.5,0.5
2.0,3.0,0.0
3.0,5.0,2.5
1.0,1.5,-2.5
1.5,3.5,1.0
2.0,2.0,-1.0
1.0,3.0,0.0
2.5,5.5,2.5
4.5,5.0,3.0
1.0,3.5,0.0
1.5,2.5,0.5
1.0,3.0,0.0
2.5,4.0,1.5
2.5,4.0,0.0
1.5,2.0,-1.0
1.0,2.0,-0.5
1.5,2.5,5.5
2.5,4.0,1.0
3.0,5.0,2.0
4.0,6.0,5.0
1.0,3.5,1.0
1.5,4.0,1.0
2.0,4.5,1.5
1.5,2.5,1.0
1.5,7.0,4.0
1.0,2.0,-1.0
1.0,3.0,0.0
