BOLOGNA C.LE,IMOLA,LUGO
1.5,-1.5,0.5
1.5,3.0,4.5
7.5,3.5,2.0
1.5,-3.0,1.5
1.5,-3.5,-0.5
2.5,-1.5,1.0
3.0,-0.5,0.0
26.5,27.0,36.0
2.5,0.0,-1.0
1.5,5.5,6.0
1.5,2.5,3.0
1.5,2.5,3.5
2.5,-3.5,2.0
6.0,2.5,2.0
4.0,0.0,2.5
1.5,4.5,4.5
1.0,-2.5,1.5
2.0,2.0,3.0
1.5,-2.0,0.0
1.5,1.0,0.0
4.5,5.5,5.0
1.0,-2.5,1.5
2.0,1.0,3.5
4.0,0.5,-0.5
1.5,0.0,1.0
2.0,0.5,1.5
4.0,0.5,4.0
9.0,6.5,5.5
5.0,-1.0,0.0
1.5,-3.0,-0.5
2.0,-2.0,0.5
1.0,-3.5,0.0
3.5,-1.5,1.5
2.0,0.0,1.0
1.5,2.5,1.5
2.5,1.0,24.0
2.0,4.0,5.0
1.0,-2.0,0.0
8.0,5.5,6.0
1.5,-0.5,0.5
2.0,-1.5,-0.5
1.5,-3.0,4.0
1.0,-4.0,1.0
3.0,0.0,1.0
18.0,13.0,10.5
4.5,7.5,11.0
4.0,2.5,5.5
2.0,-2.5,1.5
1.5,-0.5,0.0
1.5,-0.5,5.5
11.5,7.0,6.0
9.0,3.5,2.0
1.5,-3.5,3.5
2.0,-3.5,-0.5
4.5,-0.5,0.5
2.0,-1.0,0.5
1.5,-4.0,54.5
1.5,-1.0,0.0
1.0,-1.0,0.5
4.0,0.5,2.0
10.5,8.0,7.0
1.0,-0.5,1.5
6.0,5.0,36.5
8.5,4.0,4.0
2.0,1.5,2.5
2.0,-0.5,9.0
1.5,-2.0,3.0
1.5,-3.0,2.0
2.5,-3.0,0.5
6.0,1.5,1.5
6.5,2.5,5.5
2.0,-1.5,1.5
11.5,10.0,10.0
1.0,-1.5,3.5
3.0,-1.0,0.5
2.5,-2.0,0.0
5.0,2.0,2.5
1.5,-3.0,0.0
2.5,7.5,5.5
2.0,-4.0,-0.5
2.0,-4.0,4.0
1.0,-4.5,0.0
1.5,14.0,19.0
1.5,-3.0,2.0
1.5,-1.5,3.0
1.5,-3.5,1.0
2.0,3.0,7.0
39.5,46.0,48.5
12.5,11.0,9.5
1.5,4.0,4.0
5.0,1.5,2.5
1.5,2.0,3.5
2.0,1.0,1.0
1.0,-3.0,1.0
1.5,-0.5,1.0
2.0,-0.5,3.5
1.5,-1.5,3.0
3.5,-1.5,0.5
1.0,3.5,1.5
44.5,45.0,55.5
