ROMA TERMINI,ORTE,ORVIETO
1.0,8.0,10.0
2.0,6.5,5.0
0.0,3.5,4.0
3.0,5.0,5.0
0.0,21.5,20.5
0.0,-3.5,-2.0
0.0,1.5,4.5
0.0,-2.0,-6.0
0.0,0.5,1.5
23.0,45.0,44.5
0.0,-3.0,-3.0
1.0,4.0,9.0
9.0,9.5,4.0
1.0,0.0,0.0
5.0,1.5,-6.0
0.0,3.0,2.0
0.0,3.0,-3.0
9.0,13.5,20.0
24.0,24.0,16.0
2.0,5.0,5.0
0.0,-3.0,-7.0
0.0,3.5,4.0
1.0,3.0,-4.5
1.0,-0.5,2.0
0.0,-4.0,-4.5
0.0,-3.0,3.5
0.0,-2.5,-5.0
1.0,2.0,1.5
10.0,9.0,2.0
0.0,2.5,4.5
0.0,-3.0,-6.0
8.0,5.5,0.5
26.0,29.5,30.5
2.0,-2.0,4.5
0.0,2.5,3.0
20.0,24.5,18.5
1.0,0.0,0.5
0.0,-2.5,-6.5
0.0,1.0,1.0
2.0,-1.5,-4.5
3.0,4.0,5.0
0.0,-2.5,-6.0
1.0,-2.0,-0.5
5.0,0.5,-4.5
1.0,5.0,12.5
10.0,16.0,14.0
1.0,3.5,3.5
20.0,24.0,20.0
0.0,3.5,3.0
1.0,-1.0,-5.0
0.0,345.5,348.5
0.0,4.5,3.5
5.0,8.5,4.0
0.0,2.0,6.0
5.0,1.5,-3.5
2.0,0.0,2.0
13.0,11.0,14.0
4.0,5.5,5.5
1.0,5.0,6.0
0.0,1.0,1.0
5.0,0.5,-6.5
1.0,6.5,7.0
0.0,6.0,5.0
0.0,3.5,4.5
100.0,96.5,88.0
0.0,4.0,1.5
0.0,-4.0,-4.0
0.0,0.5,0.5
3.0,1.5,2.0
1.0,2.0,1.5
11.0,13.5,10.0
1.0,-2.0,1.0
0.0,-1.0,-6.0
3.0,3.5,4.5
9.0,6.0,1.0
0.0,-2.0,0.5
0.0,1.5,0.0
3.0,5.5,4.5
3.0,3.5,9.0
4.0,6.0,7.5
0.0,-2.0,-6.0
2.0,1.0,0.5
45.0,42.5,34.0
3.0,8.0,8.0
1.0,-4.0,2.0
2.0,7.5,7.5
10.0,8.5,1.0
8.0,15.0,17.0
12.0,10.5,3.0
1.0,0.5,0.5
1.0,-2.0,-6.5
0.0,7.0,6.5
1.0,-1.5,-6.5
3.0,6.0,5.5
2.0,3.5,-0.5
1.0,2.5,3.0
3.0,0.0,-7.0
0.0,-0.5,0.0
2.0,1.5,-3.0
2.0,-1.5,0.0
