BOLOGNA C.LE,FIRENZE S.M.N.
1.5,4.5
5.0,9.0
7.5,8.5
1.5,1.5
7.0,8.5
1.5,4.5
1.5,2.5
0.5,3.0
8.0,12.0
10.0,10.0
8.5,4.5
4.5,5.5
10.5,11.5
6.0,6.5
14.5,11.5
0.5,4.5
3.5,0.5
5.0,12.5
3.0,0.5
0.5,1.0
6.0,9.5
0.5,5.0
3.0,4.0
3.0,16.5
1.5,2.0
2.0,3.5
5.0,6.5
2.0,5.0
9.5,12.0
14.5,14.0
2.0,3.5
6.5,8.0
2.5,6.5
0.5,8.0
7.0,8.0
1.5,5.0
3.0,7.0
0.5,1.5
5.5,2.0
8.5,5.0
0.5,2.0
2.0,1.5
3.0,4.5
2.0,4.5
8.0,3.5
4.0,8.0
1.5,5.0
0.5,1.5
4.0,6.0
4.5,16.5
4.0,2.0
10.0,12.0
1.0,1.0
1.0,2.0
3.5,7.0
3.0,1.5
3.0,2.0
6.5,6.0
13.0,15.0
1.0,2.0
8.5,5.5
13.5,11.5
3.5,3.0
2.5,3.5
2.5,5.0
2.0,3.0
7.0,12.0
2.5,0.5
2.5,3.0
3.0,3.5
4.0,7.0
6.5,11.5
3.0,4.5
16.5,13.5
4.0,2.5
0.5,4.0
3.0,0.5
5.0,13.0
5.0,5.0
1.5,1.5
3.5,9.0
1.0,7.0
3.5,9.5
5.0,8.0
2.0,22.0
9.5,10.5
0.5,3.0
1.0,2.0
5.0,3.5
5.5,4.5
11.5,9.0
1.5,2.5
6.5,6.0
5.5,4.5
4.5,1.5
3.5,2.0
1.5,4.0
3.0,2.5
2.5,4.0
4.0,4.0
