FIRENZE S.M.N.,ROMA TIBURTINA
1.0,6.5
4.0,5.5
3.0,8.0
1.0,3.5
1.5,7.0
2.5,11.0
0.5,2.5
1.5,16.5
2.0,7.0
4.5,2.0
0.5,4.5
8.5,9.5
1.0,6.5
2.0,11.0
17.0,17.0
5.0,10.5
11.5,12.0
5.5,7.0
1.0,7.0
4.0,20.0
5.5,8.0
4.5,3.5
9.0,13.0
3.5,6.0
6.0,10.0
3.0,12.5
2.5,3.5
5.5,5.0
1.0,1.0
0.5,1.5
12.5,21.5
3.0,6.0
2.0,4.5
1.5,16.5
8.5,9.5
4.0,15.5
1.5,2.5
6.0,5.5
3.5,8.0
2.5,1.0
5.5,4.5
6.5,15.0
12.0,19.0
6.5,13.0
0.5,5.0
3.0,8.0
1.5,13.0
3.0,6.0
0.5,3.5
1.5,3.5
1.5,5.0
7.0,12.0
1.0,3.0
4.0,5.0
2.5,13.0
3.0,7.5
1.0,5.5
0.5,13.5
3.0,5.5
0.5,4.5
0.5,11.5
1.5,8.5
3.5,6.0
2.0,4.0
1.5,12.5
6.5,16.5
4.5,11.0
4.5,6.5
2.0,7.5
11.5,24.0
3.5,9.5
0.5,17.0
12.5,8.5
2.0,0.5
8.5,5.5
1.0,1.0
1.0,3.5
1.5,7.0
7.5,7.0
5.0,12.0
3.5,11.0
2.0,5.5
2.5,2.0
12.0,17.5
2.5,7.0
1.0,11.5
1.5,13.5
1.0,11.0
3.0,4.5
1.5,7.5
4.5,10.5
4.0,12.0
4.0,3.0
3.5,13.5
0.5,7.5
6.0,21.5
4.5,10.5
5.5,25.0
3.5,9.0
3.5,8.0
