OSTERIA NUOVA,SAN GIOVANNI IN PERSICETO
1.5,4.0
21.5,22.5
2.5,3.5
1.0,4.5
1.0,18.5
3.5,4.5
4.0,5.0
0.5,1.5
4.5,7.0
2.0,4.0
2.5,3.5
3.5,4.5
17.0,17.0
2.0,3.5
11.5,13.0
1.5,3.0
0.5,1.5
3.0,4.0
11.0,12.0
0.5,1.5
1.0,2.5
1.5,2.5
16.0,16.5
1.5,4.0
0.5,3.0
9.0,10.5
1.0,2.0
0.5,2.0
4.0,5.0
0.5,2.5
4.0,5.5
18.0,20.0
3.5,5.0
1.5,2.5
2.0,3.5
2.5,5.0
1.0,2.5
3.5,4.5
8.0,9.0
1.0,3.5
3.0,5.0
4.5,5.5
0.5,2.0
5.5,7.0
2.0,3.5
0.5,2.0
0.5,2.0
6.5,7.0
1.5,3.0
2.5,5.0
2.0,3.0
15.5,17.0
1.0,2.0
11.0,12.0
3.5,5.5
17.5,19.0
2.5,4.5
9.5,10.0
1.5,3.5
1.0,2.5
9.5,10.5
2.0,3.0
18.0,18.5
1.5,2.5
2.0,3.5
14.0,15.5
0.5,2.0
9.5,11.5
1.5,3.0
3.0,4.5
4.0,5.0
7.0,10.0
2.0,2.5
12.0,13.5
2.0,3.5
3.5,5.0
3.5,5.0
3.5,5.0
13.0,14.0
4.0,5.5
2.5,3.0
1.0,1.5
1.5,2.0
1.0,2.0
3.5,5.5
1.5,2.0
5.0,7.0
1.0,1.5
0.5,2.0
2.0,3.0
5.0,6.0
0.5,1.5
1.0,2.5
2.0,3.0
3.5,4.5
3.0,5.0
24.5,25.5
1.0,2.5
14.0,15.0
15.5,16.5
