OZZANO DELL'EMILIA,CASTEL S.PIETRO TERME
2.5,4.5
5.5,6.5
3.0,3.0
2.5,0.5
2.5,1.5
9.5,12.0
7.5,7.5
5.0,5.5
3.0,4.5
3.0,1.5
1.0,0.5
2.5,2.5
3.0,3.5
3.0,2.5
2.0,2.0
4.0,2.0
2.5,2.0
3.0,2.5
4.0,4.0
2.0,0.5
3.5,7.0
3.0,1.5
2.0,3.5
1.5,1.0
3.5,3.0
9.0,9.5
0.5,1.0
3.0,2.0
3.0,5.0
3.0,1.5
12.5,12.0
3.5,3.5
7.0,5.5
2.0,2.5
6.5,4.0
4.5,4.0
4.0,6.0
1.5,2.5
5.5,3.0
13.0,14.0
1.5,1.5
2.5,2.0
3.0,1.0
10.5,11.5
2.5,2.5
2.5,0.5
2.0,3.5
1.0,2.0
4.0,3.0
6.0,6.5
2.5,1.0
2.5,2.0
1.5,4.5
2.5,2.0
2.0,1.5
6.0,6.0
17.0,17.0
1.5,0.5
4.5,3.0
2.0,3.0
2.0,1.5
2.5,1.0
2.0,2.0
3.5,4.0
3.0,0.5
5.5,6.5
2.5,2.5
2.5,0.5
2.5,1.5
4.0,2.5
1.5,1.0
5.5,2.5
8.0,8.5
1.5,1.5
3.0,1.5
3.0,2.5
3.0,4.0
4.5,2.5
2.0,2.5
29.0,26.5
1.5,4.0
9.0,6.5
2.5,3.5
3.5,2.0
2.5,1.5
8.5,6.5
2.5,2.5
4.0,2.5
1.5,4.0
3.5,3.5
3.5,5.0
1.5,3.0
2.5,4.0
2.5,0.5
2.0,2.0
23.0,21.0
2.5,2.5
2.0,4.0
3.5,0.5
6.5,15.5
