VOGHERA,STRADELLA,CASTEL S.GIOVANNI
23.0,20.5,21.0
1.5,1.0,3.0
2.0,-1.5,1.0
53.0,54.5,55.0
1.5,1.0,2.0
1.0,-3.0,-1.5
1.0,-3.0,-0.5
1.5,-2.5,-0.5
1.5,1.5,3.0
2.5,-1.5,0.0
2.0,-2.0,2.5
1.0,0.0,1.0
1.0,-2.5,-1.0
1.0,-0.5,1.5
11.5,8.5,9.0
1.0,-3.0,-0.5
2.0,0.0,2.5
1.5,3.5,4.0
1.5,-2.0,-0.5
1.5,-1.5,0.0
1.0,-3.0,-0.5
1.0,14.5,14.5
2.0,-0.5,1.5
1.5,0.0,0.0
1.5,-2.5,0.0
1.5,-1.0,0.5
21.5,21.5,22.0
1.5,-1.5,-0.5
1.5,-2.0,2.5
21.0,28.0,33.0
1.0,-2.0,0.0
1.0,-2.5,-1.0
1.0,-3.0,-1.0
1.5,0.0,1.5
1.5,-0.5,-0.5
2.5,0.0,2.0
1.5,-1.0,-0.5
1.5,-1.5,0.0
4.5,1.5,3.0
1.0,-2.5,-0.5
2.0,-0.5,0.0
2.0,2.5,5.5
1.0,-2.0,0.0
1.5,-1.0,0.5
1.0,-2.5,-1.0
1.0,-1.0,0.5
1.5,0.0,0.0
1.5,2.0,2.5
1.5,-3.0,-0.5
2.0,1.0,1.5
2.0,0.0,0.5
2.0,-1.0,0.0
1.5,-2.0,0.0
2.0,-2.0,0.0
1.5,23.0,23.0
1.0,-0.5,1.0
2.0,-2.5,-1.0
1.0,-0.5,1.5
1.5,11.0,12.0
1.5,0.0,0.0
2.0,0.0,2.5
1.5,0.0,1.5
1.5,-2.5,1.0
1.5,-1.5,0.5
1.5,-1.5,-0.5
1.5,-1.5,-0.5
1.5,-3.0,-1.0
1.0,-3.0,-1.0
1.5,-2.5,0.0
2.5,0.5,2.0
2.0,-1.5,0.0
1.5,-0.5,1.5
1.5,-2.0,-1.5
1.5,-1.5,0.0
1.5,1.0,2.0
2.0,-0.5,0.5
2.5,-1.5,-0.5
1.5,-1.5,-0.5
8.0,9.0,11.0
1.0,-3.0,-1.0
35.5,47.0,81.0
2.5,-0.5,0.0
1.5,-0.5,0.5
3.0,2.0,1.5
1.5,-0.5,0.0
2.0,-0.5,1.0
39.0,40.5,41.5
1.0,0.0,1.5
1.5,-1.5,-0.5
2.0,-2.0,-0.5
2.5,0.5,2.0
2.0,-1.5,0.0
1.5,-1.5,0.0
1.5,-0.5,0.5
1.0,-2.0,0.0
2.0,1.0,2.5
3.0,1.5,3.0
2.0,0.0,0.5
2.5,0.5,2.0
2.0,-1.5,-0.5
