MILANO CENTRALE,BOLOGNA C.LEAV,FIRENZE S.M.N.
1.5,-5.0,-2.5
2.0,1.0,-0.5
7.5,2.0,4.5
3.5,0.0,4.0
2.5,-0.5,3.0
4.0,0.0,-1.0
1.0,-2.5,-1.0
1.5,-3.0,-1.5
1.5,-3.5,1.5
2.0,-0.5,2.5
4.0,-4.0,-3.0
1.0,-3.0,0.0
1.0,-4.5,-6.0
1.0,-4.5,-1.5
3.0,-1.0,2.0
6.5,2.5,4.0
4.5,3.0,1.0
4.5,-1.5,-3.0
1.0,1.0,0.0
1.0,-3.5,4.5
3.0,7.5,8.5
3.5,4.5,2.0
1.5,-2.5,0.5
2.5,-2.5,-6.0
2.0,-4.0,1.5
3.0,-0.5,1.0
1.5,-3.5,0.0
2.0,0.5,-1.0
1.5,-0.5,1.0
2.5,-4.0,17.0
2.5,-1.0,5.0
1.5,-3.0,11.5
0.5,-6.0,-6.5
1.0,55.0,57.0
1.5,-1.0,1.0
2.0,12.0,10.5
2.5,-1.5,-4.0
1.0,-2.5,4.0
2.5,-1.0,-1.0
1.5,-4.0,4.5
1.0,0.5,3.5
2.5,3.5,1.0
3.0,-4.5,-6.5
3.5,-2.0,0.0
1.0,-1.5,9.0
1.0,4.5,10.5
0.5,-3.5,3.5
0.5,-7.0,6.0
1.5,3.0,5.5
1.5,-2.0,3.0
1.5,0.0,2.5
1.5,-1.5,-5.5
1.0,-4.5,1.0
1.0,-2.5,-1.5
1.0,1.0,7.5
1.5,-3.0,-3.5
4.0,-2.0,0.5
5.0,11.5,13.5
1.5,-3.5,3.0
12.5,34.0,58.5
3.0,0.0,1.5
0.0,-1.5,2.5
4.0,0.0,4.0
4.5,3.0,9.5
2.5,1.5,10.0
3.0,1.5,4.0
0.5,-4.5,-1.5
1.0,-4.5,-4.0
1.0,-4.0,1.5
1.0,-5.0,2.5
1.5,2.0,3.5
1.5,-4.5,-2.5
2.0,-2.0,0.5
1.0,-3.5,3.0
2.5,1.0,9.0
7.0,5.0,7.5
2.0,-2.0,1.5
4.5,-2.5,1.0
1.0,-6.5,-7.5
0.5,-5.5,-1.5
1.0,-4.5,3.0
1.5,3.0,5.0
1.5,-3.0,-2.5
2.5,-1.5,-0.5
1.0,-5.0,-7.0
2.5,-1.5,1.5
4.5,0.5,7.5
1.0,-2.0,1.5
4.0,1.5,-1.5
2.0,5.5,8.0
2.0,4.0,8.5
2.5,8.5,16.5
5.5,10.0,14.0
2.5,1.5,18.5
0.5,-3.0,1.0
1.0,-5.5,-7.5
1.0,-4.0,-1.0
3.0,4.5,5.0
1.5,-3.0,2.5
2.5,4.5,8.5
