BOLOGNA C.LEAV,FIRENZE S.M.N.
2.0,4.5
6.0,5.0
2.0,4.0
5.0,12.0
2.5,4.0
3.0,1.0
2.5,2.0
1.5,12.0
7.5,8.5
4.5,2.0
8.5,8.0
12.0,10.5
0.5,3.5
3.5,1.0
2.5,5.0
6.5,10.5
4.5,10.5
1.0,5.0
3.5,5.5
3.0,5.5
3.5,8.5
1.0,7.5
0.5,4.0
11.5,13.5
7.0,4.5
0.5,8.0
3.0,9.5
1.5,10.0
1.5,4.0
2.0,3.5
7.5,8.0
1.0,9.0
5.0,7.5
3.0,5.0
2.0,3.5
0.5,7.5
5.5,8.0
4.0,8.5
3.0,4.5
5.0,6.0
3.5,13.0
8.5,16.5
10.0,14.0
1.5,18.5
4.5,5.0
4.5,8.5
3.5,3.0
0.5,4.5
2.0,3.5
2.5,9.5
5.5,4.5
0.5,2.0
5.5,9.5
4.0,1.0
2.5,8.0
1.0,9.5
5.0,6.0
1.0,20.0
11.0,10.0
5.0,3.5
4.0,8.5
1.0,2.0
2.5,6.0
0.5,3.0
4.5,8.0
6.0,7.5
2.5,7.0
19.5,21.5
4.0,3.5
1.5,1.0
9.5,9.0
9.0,16.0
2.5,6.5
0.5,5.0
2.5,0.5
3.0,4.5
3.5,3.0
9.0,14.0
11.5,13.0
9.5,15.5
6.0,14.5
0.5,9.0
10.0,11.5
8.0,11.0
1.0,4.5
4.5,6.0
2.0,5.5
4.5,3.5
14.5,16.5
10.0,10.5
7.0,9.0
14.0,15.5
5.5,5.5
12.5,17.0
1.5,6.0
9.0,10.5
2.0,6.5
7.5,22.0
6.0,3.5
9.5,10.0
