VENEZIA SANTA LUCIA,VENEZIA MESTRE,PADOVA
0.0,-1.0,0.0
0.0,-2.0,-1.0
1.5,0.0,2.0
0.0,-1.0,2.5
0.0,-1.5,2.0
2.0,0.0,2.5
2.5,2.5,4.5
1.0,-1.0,0.0
0.5,-1.5,6.0
2.0,0.0,6.0
0.0,-1.5,-1.5
2.5,4.5,4.5
0.5,3.0,6.0
0.0,-2.0,0.0
0.0,0.5,4.0
1.5,-0.5,1.0
3.0,0.5,1.5
5.0,7.0,10.5
3.5,5.5,6.5
1.0,0.0,3.0
1.0,-0.5,1.0
4.5,10.5,11.5
0.5,2.5,2.5
1.0,-1.0,2.0
0.5,-1.0,1.0
0.5,0.0,1.5
0.5,-1.5,0.0
1.0,0.5,1.5
1.0,1.0,2.5
0.0,0.0,1.0
3.0,2.5,2.5
0.0,-2.0,0.0
0.0,-1.5,5.0
0.0,1.5,2.0
1.0,-1.5,-1.0
0.0,-0.5,-0.5
0.0,-1.5,0.0
0.0,-2.5,-1.0
1.5,3.5,7.5
0.5,-0.5,1.0
1.0,1.0,3.0
0.0,-1.5,1.0
1.0,0.0,2.5
1.0,-1.0,-1.5
1.0,2.5,2.5
2.5,0.5,0.5
0.0,-2.0,0.0
0.0,-0.5,1.5
1.5,-1.0,0.0
2.0,0.5,3.5
2.0,2.5,4.0
0.5,-0.5,0.5
1.0,-0.5,-0.5
5.5,3.0,5.0
1.0,-0.5,2.0
14.0,15.0,17.5
1.5,0.0,1.0
1.5,0.0,1.5
1.5,-1.0,1.5
1.5,-0.5,2.5
1.5,-0.5,3.0
3.0,1.5,3.0
2.5,1.5,3.5
5.5,6.5,8.0
1.5,2.0,4.5
2.0,1.0,3.5
3.0,3.5,4.0
0.0,-2.0,14.0
0.0,-2.0,1.5
0.0,-0.5,0.0
0.5,2.5,6.5
3.0,1.0,2.0
6.5,7.0,9.0
0.0,-1.0,0.0
0.5,-1.5,2.5
1.0,-0.5,1.5
0.5,-1.5,1.5
45.5,45.5,47.5
49.5,47.5,48.5
2.0,2.5,6.5
0.0,-2.0,0.0
0.5,2.0,4.0
67.0,66.5,69.0
1.0,1.5,4.0
1.0,0.5,1.5
26.5,25.5,32.5
4.5,2.0,2.5
0.5,-2.0,1.5
0.0,0.0,1.5
1.0,-1.0,0.5
0.0,-2.0,2.0
0.0,-2.0,1.0
1.0,0.0,4.0
0.5,-0.5,1.5
1.5,0.0,4.0
3.0,2.0,2.5
1.5,1.0,5.0
0.0,-0.5,2.0
0.0,-2.0,1.5
1.5,6.5,9.0
