PADOVA,BOLOGNA C.LEAV
2.0,7.5
6.0,5.5
1.0,2.5
18.0,26.5
4.0,5.0
1.0,3.0
3.0,7.0
1.0,0.5
13.5,23.0
1.0,2.0
2.5,2.0
1.5,9.5
1.5,4.0
2.5,12.0
3.0,6.5
4.0,11.5
1.5,4.5
4.0,7.5
0.5,3.5
3.5,8.0
4.0,3.5
2.5,5.5
0.5,3.0
0.5,6.0
1.5,2.5
4.5,12.5
6.5,9.0
3.0,2.0
2.5,2.0
5.0,0.5
3.0,8.0
1.0,6.0
3.0,8.5
2.5,2.0
0.5,3.0
2.5,4.5
1.5,3.0
2.0,1.5
2.0,4.0
1.0,1.0
2.0,1.5
2.0,7.5
8.5,10.0
4.0,6.0
0.5,3.5
4.0,4.5
4.0,2.5
3.5,0.5
1.5,0.5
3.5,11.5
2.5,1.0
2.5,3.0
2.0,5.0
1.5,2.0
1.0,17.5
2.0,10.0
9.5,10.5
3.0,3.5
4.5,7.0
1.5,0.5
1.0,3.5
0.5,2.5
2.0,4.5
1.5,1.5
1.5,1.0
2.0,1.0
4.5,9.0
1.5,1.5
2.5,1.5
0.5,3.0
1.0,2.0
1.0,1.5
1.0,3.5
1.5,3.5
5.0,3.5
7.5,9.5
2.0,3.0
2.0,6.5
3.5,1.5
5.0,4.5
4.0,11.0
4.5,2.0
1.0,4.0
1.5,2.0
7.0,6.0
5.0,6.0
3.0,5.0
3.5,16.5
0.5,2.5
2.5,10.0
2.0,6.5
0.5,3.0
1.5,5.0
0.5,7.0
2.0,1.5
2.0,3.0
2.0,5.5
0.5,2.0
2.0,3.0
1.5,2.0
