LECCE,BRINDISI,BARI CENTRALE
1.5,-0.5,-4.0
0.5,-1.0,-4.0
1.5,0.0,-3.5
3.0,0.0,-4.5
1.5,0.5,-2.0
1.0,0.0,8.0
1.0,0.0,23.5
0.0,3.5,0.5
1.0,1.0,-3.0
0.5,0.0,-2.0
0.5,-1.5,0.0
1.0,-0.5,-0.5
1.5,-1.0,-3.0
1.0,2.5,-2.5
2.0,1.0,16.0
1.5,0.0,9.0
1.0,-0.5,-2.5
1.0,-1.0,-3.5
1.5,4.5,3.0
0.5,-1.5,-3.5
1.0,-1.5,-2.0
3.5,1.0,-2.5
1.0,0.5,-3.5
1.5,0.0,-3.5
1.0,-1.0,-3.0
1.0,-1.0,-3.5
1.5,1.0,12.5
1.0,0.0,-1.0
10.0,8.0,11.5
1.0,0.5,-1.0
1.5,1.5,-3.0
41.0,43.0,46.0
1.5,2.0,-0.5
1.0,-0.5,-3.0
1.0,6.0,-0.5
1.0,-0.5,44.0
0.5,-1.0,-2.0
0.5,0.0,-4.0
1.0,-0.5,-2.5
1.0,2.0,-3.0
1.0,5.0,3.0
2.0,-0.5,-1.5
0.5,-0.5,-1.5
1.0,11.5,3.5
1.0,0.0,-2.5
2.0,10.5,2.0
1.5,1.5,-3.5
2.0,1.0,-4.0
1.5,0.0,-3.0
3.0,2.5,-2.0
1.5,-0.5,-3.0
1.0,-1.5,0.0
1.0,11.5,7.0
1.5,0.5,-3.0
0.0,0.5,-2.5
1.5,0.0,-2.5
1.5,-1.0,-2.5
3.0,3.5,-2.0
1.0,-1.5,-2.0
1.0,0.5,-0.5
1.0,0.0,5.0
1.0,0.0,-3.0
1.0,-0.5,-3.0
2.0,2.5,-1.0
2.5,1.5,-3.0
3.0,6.5,2.5
0.5,-1.0,-2.0
1.5,0.5,-3.0
1.0,-1.5,-3.5
1.0,3.0,23.5
1.0,0.5,-3.5
0.5,-0.5,-2.5
0.5,-2.0,-4.0
0.0,0.0,-2.5
1.5,1.0,-2.0
1.5,1.5,-2.0
0.5,3.5,13.5
1.5,0.0,-3.0
1.5,0.0,-3.0
1.0,-1.0,19.0
2.0,9.0,13.5
2.0,0.0,-0.5
3.0,1.0,-1.0
1.0,-0.5,-3.5
1.5,-0.5,-3.5
1.5,0.5,4.5
0.5,6.0,0.0
1.5,1.0,-1.0
1.0,0.0,-2.5
1.5,3.0,0.0
1.5,-0.5,4.0
1.0,-1.0,-5.5
0.5,-2.0,-4.5
1.0,1.5,-2.0
7.5,5.5,4.0
1.5,4.0,-2.5
1.5,2.5,-2.5
1.0,3.5,0.0
2.0,1.5,-0.5
2.0,0.0,-2.0
