NAPOLI AFRAGOLA,ROMA TERMINI
0.5,1.0
5.0,6.0
2.5,1.0
4.0,8.0
3.5,2.0
0.5,1.0
8.0,12.0
2.0,3.0
0.5,1.0
3.5,12.0
0.5,5.0
1.0,6.0
0.5,3.0
1.0,11.0
2.0,5.0
2.5,18.0
0.5,18.0
0.5,16.0
0.5,8.0
1.5,8.0
2.5,5.0
1.5,1.0
2.0,4.0
1.0,1.0
1.5,3.0
0.5,5.0
0.5,3.0
6.5,5.0
5.5,4.0
2.5,3.0
2.0,4.0
1.5,9.0
1.5,6.0
2.0,2.0
1.0,1.0
1.0,3.0
0.5,7.0
1.5,2.0
1.0,4.0
0.5,3.0
0.5,17.0
4.5,5.0
2.0,5.0
2.5,10.0
2.5,2.0
2.5,4.0
0.5,5.0
0.5,1.0
0.5,4.0
2.5,5.0
0.5,4.0
1.0,2.0
1.5,6.0
5.5,15.0
2.5,1.0
1.0,6.0
0.5,3.0
5.0,3.0
1.5,14.0
3.5,1.0
3.0,6.0
17.5,25.0
5.0,3.0
5.0,10.0
0.5,7.0
3.0,4.0
2.5,4.0
0.5,3.0
0.5,1.0
14.5,16.0
1.0,1.0
6.5,11.0
4.0,18.0
1.0,7.0
2.0,3.0
10.0,12.0
1.5,2.0
3.5,6.0
6.0,13.0
0.5,2.0
4.5,11.0
0.5,5.0
1.0,26.0
1.0,4.0
3.5,3.0
4.0,4.0
3.0,8.0
2.5,3.0
1.5,2.0
1.0,2.0
3.0,8.0
3.5,3.0
0.5,1.0
0.5,4.0
2.5,9.0
1.5,4.0
1.5,6.0
10.5,19.0
1.0,7.0
10.0,10.0
