MONTESANTO,PORTOMAGGIORE
3.5,2.5
3.5,2.5
0.5,1.0
1.5,1.0
4.0,5.0
1.5,1.5
2.5,1.0
2.5,2.0
2.0,1.5
8.0,8.0
3.0,1.5
2.5,1.0
2.0,1.0
5.5,6.0
2.0,1.5
0.5,1.0
2.5,1.5
2.0,2.0
3.0,2.0
1.5,0.5
28.5,28.0
6.5,5.5
1.5,0.5
3.5,2.5
2.0,2.5
1.5,1.5
2.0,0.5
3.5,3.5
1.5,1.0
2.5,2.0
2.5,1.0
16.0,15.5
1.0,1.5
2.5,1.0
2.5,1.5
2.5,2.0
2.0,1.0
6.0,5.0
2.0,1.5
2.5,0.5
1.0,0.5
3.0,1.0
2.0,1.0
2.0,1.5
0.5,1.0
2.5,2.0
2.0,1.0
2.5,1.0
2.0,1.5
0.5,0.5
2.5,1.5
2.5,1.0
2.0,1.0
2.5,1.0
2.0,0.5
2.5,1.5
2.0,0.5
1.5,0.5
1.5,2.0
25.5,24.5
2.5,1.5
3.0,2.0
0.5,0.5
1.5,0.5
3.5,2.0
2.0,0.5
3.5,1.5
2.0,0.5
0.5,1.0
1.5,0.5
2.0,0.5
3.0,1.5
14.5,13.0
4.0,3.5
2.5,1.5
1.5,1.5
2.0,1.0
2.0,1.0
3.0,2.0
2.5,3.0
3.5,2.5
2.5,1.0
26.5,25.0
4.5,2.5
5.0,4.0
1.5,1.0
2.0,3.0
2.0,0.5
2.5,1.5
7.5,6.5
3.0,2.0
3.5,1.5
3.5,3.0
2.0,1.0
2.0,1.5
2.0,1.0
3.5,2.0
2.0,0.5
1.5,1.5
2.5,1.5
