TORINO P.NUOVA,TORINO LINGOTTO
1.5,3.0
0.5,1.0
0.5,0.5
3.5,6.0
17.0,15.0
1.0,1.0
7.5,8.0
3.0,1.0
2.5,3.5
2.0,2.0
4.0,7.0
1.0,1.5
1.5,0.0
1.0,-0.5
2.5,1.0
2.5,2.0
3.5,9.0
12.0,10.0
1.0,1.0
2.0,1.0
0.5,2.0
1.0,1.5
4.0,2.5
0.5,0.5
1.0,0.0
1.0,1.0
0.5,-1.0
2.0,5.5
2.0,4.0
2.0,0.0
1.5,0.0
1.5,-0.5
6.0,6.5
5.0,5.5
1.5,0.5
6.0,4.5
4.5,3.5
1.0,-1.0
6.5,5.0
3.5,2.0
5.5,5.5
2.0,0.0
2.0,2.0
1.0,4.0
1.5,0.0
3.5,2.5
1.0,4.0
5.5,4.5
1.5,4.5
1.5,4.0
3.0,3.5
3.5,2.0
1.0,0.0
5.5,3.5
5.5,4.0
1.0,0.5
1.0,2.0
1.0,4.0
4.0,5.0
1.5,2.0
7.0,5.0
2.0,6.5
2.0,1.0
9.0,8.5
4.0,3.0
0.5,-1.0
0.5,5.0
2.0,3.5
3.5,5.0
1.0,-1.0
2.0,1.5
2.5,1.0
2.0,3.0
1.0,3.5
1.0,0.0
2.5,1.0
2.5,1.5
3.5,9.0
4.0,3.0
3.0,1.0
9.5,7.0
1.0,0.0
2.0,1.0
7.0,5.5
3.5,5.0
8.5,7.0
3.0,1.0
0.5,1.0
4.5,2.0
1.5,4.0
7.5,9.0
11.5,10.0
6.0,4.0
1.0,-0.5
0.5,1.0
2.0,0.5
1.5,1.0
1.5,1.0
2.0,5.0
1.5,2.0
