FIRENZE S.M.N.,ROMA TERMINI
1.0,7.0
-1.0,1.0
-4.0,13.0
1.0,5.0
-3.5,3.0
-2.5,-4.0
-2.5,2.0
-1.5,8.0
8.5,10.0
2.5,8.0
5.0,3.0
34.5,52.0
-1.0,10.0
11.5,29.0
2.5,13.0
-1.0,-4.0
3.5,16.0
-4.0,1.0
-1.0,4.0
-1.0,5.0
16.5,17.0
-0.5,5.0
0.0,7.0
-0.5,-1.0
2.5,4.0
-2.0,7.0
9.0,14.0
-4.0,-1.0
-2.0,-1.0
6.0,9.0
2.0,10.0
-2.0,2.0
-4.0,-2.0
-2.0,4.0
-2.0,6.0
-4.0,5.0
-2.5,0.0
-3.0,0.0
5.0,0.0
0.0,3.0
2.0,21.0
13.5,16.0
-1.5,5.0
-1.5,8.0
3.5,2.0
-4.0,1.0
1.0,4.0
4.5,5.0
-2.0,9.0
8.5,22.0
-1.0,-2.0
-4.5,6.0
1.0,19.0
-2.5,7.0
1.0,1.0
2.0,3.0
1.0,0.0
8.0,3.0
-4.0,-6.0
26.5,28.0
1.5,4.0
6.0,24.0
-0.5,0.0
-2.5,1.0
