VARIGNANA,CASTEL S.PIETRO TERME
1.5,-0.5
0.0,-0.5
3.5,2.0
1.0,0.5
3.0,2.0
2.5,1.5
1.5,-0.5
2.0,1.5
28.0,26.0
5.5,3.5
5.0,4.5
4.5,2.5
5.5,4.5
3.0,1.5
15.5,14.0
1.0,-0.5
5.5,4.0
1.5,2.0
0.5,-1.0
5.0,3.0
0.5,-0.5
1.0,0.0
1.5,-1.0
3.0,3.0
6.0,5.0
1.5,0.5
0.0,0.0
3.5,1.5
2.0,1.0
3.5,2.5
2.5,2.0
1.5,-0.5
0.5,-1.5
0.5,1.0
3.5,2.0
0.5,-1.0
1.0,-0.5
1.0,0.0
1.0,-1.0
1.0,-0.5
0.5,-1.0
1.5,0.0
0.5,-1.5
2.0,1.0
1.0,0.0
0.5,0.5
1.5,0.5
2.5,1.0
3.0,1.0
2.0,0.0
3.5,2.0
6.5,4.5
3.0,2.5
2.0,1.0
3.5,2.5
1.0,0.0
1.0,0.0
2.0,0.0
5.5,3.5
2.0,1.0
2.0,23.5
2.0,1.0
4.0,3.0
2.0,0.0
1.0,-1.0
2.0,0.5
6.5,4.5
3.5,2.5
4.5,3.0
2.0,0.5
1.5,1.0
1.0,-1.0
1.5,0.5
1.5,1.5
6.5,5.5
2.5,0.5
1.0,-1.5
1.0,0.0
3.5,2.5
0.5,-0.5
1.0,0.0
4.0,1.5
1.0,-0.5
2.5,1.5
5.5,4.0
1.0,0.0
1.0,-1.0
4.0,3.0
1.5,0.0
4.0,3.0
1.0,0.0
2.0,1.0
1.5,1.0
2.0,0.0
5.5,3.5
2.0,1.0
5.5,4.0
4.5,3.0
1.5,-0.5
29.5,33.0
