MILANO ROGOREDO,LODI
3.5,-3.0
-0.5,-1.0
0.5,-1.5
1.5,-0.5
-0.5,-1.0
13.5,8.5
0.0,-7.5
0.5,-0.5
2.0,0.5
0.0,-0.5
-1.0,-1.5
1.5,-2.0
0.0,1.0
1.0,-1.0
0.5,0.0
0.5,-1.0
0.5,-0.5
0.5,-1.0
0.0,-2.0
0.5,-4.0
38.5,30.0
3.0,-3.5
-0.5,-1.0
0.0,0.0
11.5,2.0
1.0,0.0
1.5,0.0
3.0,-1.0
12.5,5.0
1.0,-1.0
-2.0,-1.5
-1.5,3.5
12.0,3.5
6.0,1.5
1.0,8.5
2.5,-1.5
0.0,0.0
0.0,0.0
4.5,-2.0
34.0,26.0
4.0,-6.0
33.0,28.5
2.0,3.5
4.0,-1.5
14.0,6.5
8.0,0.5
2.5,2.5
1.0,-0.5
2.5,1.5
1.0,1.0
0.0,-1.0
36.0,29.0
0.0,1.5
0.0,1.0
3.0,-1.0
0.5,-1.0
24.5,19.0
6.0,-1.5
0.0,2.0
-1.5,-0.5
1.5,-0.5
-1.0,-1.0
4.5,0.0
-0.5,-0.5
2.0,-2.5
2.0,0.0
2.5,0.5
0.5,1.0
-0.5,-1.5
17.5,11.5
-0.5,-8.0
0.5,0.5
0.0,2.5
1.0,0.5
5.0,0.5
0.5,0.0
0.0,2.5
0.0,-0.5
11.0,9.5
1.0,7.5
4.0,-1.0
1.5,-1.0
-0.5,-1.0
0.0,2.0
4.0,3.0
-1.0,1.5
-0.5,-0.5
1.5,-2.5
-0.5,-1.0
0.5,3.5
1.0,-1.0
18.5,9.5
5.5,-1.0
3.5,-0.5
0.0,-1.5
18.5,10.5
1.0,-1.0
1.5,0.0
0.0,-1.5
8.5,1.0
