NAPOLI CENTRALE,ROMA TERMINI
2.0,3.0
3.0,3.0
1.5,-9.0
1.0,-10.5
8.0,3.0
17.0,11.0
2.5,7.0
2.5,-2.0
21.0,15.0
9.5,5.0
13.0,3.0
3.0,-4.0
3.0,3.0
1.5,-10.0
1.0,-8.0
5.0,0.0
4.5,3.0
2.0,-5.0
1.0,-2.0
2.5,-4.0
3.0,-6.0
7.0,5.0
7.0,-2.0
7.0,1.0
1.5,12.0
2.5,1.0
2.5,-5.0
2.0,-1.0
1.5,0.0
6.0,-2.0
1.0,-3.0
1.0,0.0
0.5,-11.0
2.0,-5.0
2.5,-3.0
2.0,0.0
6.0,1.0
13.0,10.0
1.5,-3.0
3.5,1.0
1.0,-2.0
6.0,2.0
5.5,-1.0
2.5,-4.0
5.5,0.0
1.0,-3.0
1.5,0.0
7.5,3.0
4.5,0.0
8.0,4.0
7.0,-2.0
2.0,2.0
12.5,5.0
1.5,1.0
3.5,-2.0
1.5,4.0
19.5,13.0
1.0,4.0
1.5,-1.0
0.5,-4.0
5.0,1.0
1.0,-2.0
3.0,2.0
4.5,6.0
9.0,4.0
2.0,4.0
2.5,-3.5
1.0,4.0
3.0,3.0
6.0,-1.0
1.5,2.0
2.5,-4.0
1.5,-2.0
4.5,0.0
2.0,0.0
3.5,-1.0
0.5,0.0
1.0,0.0
5.5,6.0
1.0,2.0
2.0,-1.0
1.5,4.0
2.5,0.0
3.0,-5.0
3.0,0.0
1.5,2.0
2.5,2.0
0.5,0.0
1.0,-2.0
1.5,-4.0
0.5,-9.0
0.5,3.0
3.0,-1.0
1.0,-3.0
1.5,-3.0
1.0,0.0
4.5,1.0
1.5,1.0
0.5,-5.0
4.0,1.0
