ORVIETO,CHIUSI C.T.
10.0,8.0
5.0,8.0
4.0,2.0
5.0,5.0
20.5,17.5
-2.0,-1.5
4.5,4.5
-6.0,-1.0
1.5,9.5
44.5,42.5
-3.0,16.0
9.0,14.5
4.0,12.0
0.0,-0.5
-6.0,-1.0
2.0,17.5
-3.0,2.5
20.0,19.0
16.0,13.5
5.0,4.0
-7.0,-2.0
4.0,2.0
-4.5,-1.0
2.0,0.5
-4.5,-2.0
3.5,3.0
-5.0,-2.0
1.5,0.0
2.0,6.5
4.5,2.5
-6.0,-0.5
0.5,-1.5
30.5,29.0
4.5,4.0
3.0,1.5
18.5,16.0
0.5,0.0
-6.5,-1.0
1.0,-0.5
-4.5,-1.5
5.0,5.5
-6.0,6.5
-0.5,-2.0
-4.5,-0.5
12.5,10.0
14.0,13.0
3.5,0.0
20.0,18.0
3.0,1.5
-5.0,-2.0
348.5,351.0
3.5,1.0
4.0,25.5
6.0,4.0
-3.5,-0.5
2.0,1.0
14.0,17.5
5.5,4.5
6.0,10.5
1.0,1.5
-6.5,0.0
7.0,5.0
5.0,9.0
4.5,2.5
88.0,85.0
1.5,3.0
-4.0,-2.0
0.5,0.5
2.0,16.0
1.5,2.0
10.0,13.0
1.0,0.0
-6.0,-1.0
4.5,2.5
1.0,7.5
0.5,-1.5
0.0,2.5
4.5,2.5
9.0,7.0
7.5,6.0
-6.0,-1.5
0.5,-1.0
34.0,32.5
8.0,6.0
2.0,2.0
7.5,11.5
1.0,-0.5
17.0,16.0
3.0,1.5
0.5,0.5
-6.5,2.0
6.5,4.5
-6.5,-1.0
5.5,3.0
-0.5,-0.5
3.0,1.5
-7.0,11.5
0.0,-1.0
-3.0,-1.0
0.0,-1.0
