MONTESANTO,PORTOMAGGIORE
3.5,2.5
3.5,2.5
1.5,1.0
38.0,36.5
2.5,1.0
2.5,2.0
1.5,0.0
2.0,1.5
3.0,1.5
2.5,1.0
2.0,1.0
1.5,0.0
2.0,1.5
1.5,1.0
2.5,1.5
2.0,2.0
3.0,2.0
1.5,0.5
28.5,28.0
6.5,5.5
1.0,0.0
1.5,0.0
1.5,1.0
1.5,0.5
3.5,2.5
1.0,-0.5
2.0,0.5
3.5,3.5
1.5,1.0
1.0,-0.5
2.5,2.0
2.5,1.0
1.0,-0.5
2.5,1.0
0.5,-0.5
2.5,1.5
2.5,2.0
2.0,1.0
6.0,5.0
1.5,0.5
1.0,0.5
2.0,1.5
2.5,0.5
0.5,-1.0
1.0,0.5
3.0,1.0
2.0,1.0
2.0,1.5
1.5,0.0
0.5,-0.5
2.5,2.0
2.0,1.0
2.5,1.0
2.0,1.5
2.5,1.5
2.5,1.0
1.0,3.5
2.0,1.0
2.5,1.0
1.0,0.0
2.0,0.5
2.5,1.5
0.5,-0.5
2.0,0.5
1.5,0.5
25.5,24.5
2.5,1.5
3.0,2.0
1.0,0.0
1.5,0.5
3.5,2.0
2.0,0.5
3.5,1.5
2.0,0.5
1.5,0.5
1.5,0.0
1.5,0.0
2.0,0.5
3.0,1.5
1.5,0.0
14.5,13.0
4.0,3.5
2.5,1.5
2.0,1.0
2.0,1.0
3.0,2.0
3.5,2.5
2.5,1.0
32.5,31.5
26.5,25.0
4.5,2.5
1.5,0.0
5.0,4.0
1.5,1.0
2.0,0.5
2.5,1.5
7.5,6.5
3.0,2.0
3.5,1.5
3.5,3.0
