TERONTOLA CORTONA,AREZZO
3.0,2.0
14.5,12.5
34.0,35.0
17.0,19.0
5.5,9.5
-0.5,3.0
4.5,2.5
0.0,0.5
9.0,12.5
0.0,6.0
0.5,0.0
3.0,4.0
0.5,2.5
11.0,9.0
-1.0,1.5
-0.5,1.0
4.5,3.0
10.5,12.0
16.5,15.5
8.0,5.5
3.5,1.5
1.0,0.0
0.5,-0.5
1.0,3.0
3.5,2.5
19.5,21.5
14.5,17.5
50.5,50.0
28.0,26.5
1.5,2.0
-1.5,1.0
1.0,0.5
-0.5,0.5
11.0,10.0
16.0,17.0
0.0,-0.5
0.0,0.5
0.0,0.5
2.0,2.0
1.5,6.5
35.0,34.0
-1.0,-0.5
1.5,0.5
10.0,11.0
0.0,-0.5
3.5,3.5
2.0,8.5
34.5,33.0
22.0,26.0
0.5,2.5
11.0,10.5
1.5,0.0
-0.5,-0.5
6.5,5.0
17.5,15.5
12.5,10.0
26.5,28.5
0.0,2.0
0.5,0.5
0.5,2.5
5.5,4.0
12.0,9.5
49.5,48.0
9.0,7.5
-1.0,-0.5
3.5,2.0
5.5,6.5
61.0,59.0
0.0,0.0
2.5,3.5
9.0,10.0
0.0,3.0
5.5,4.0
1.5,6.0
0.0,1.0
2.5,3.5
5.0,3.5
11.5,10.5
3.0,2.5
10.0,12.0
3.5,4.0
3.0,5.5
1.5,8.0
