FORLI`,FAENZA
3.5,2.5
1.5,0.0
4.5,5.0
2.0,1.0
10.0,8.0
-1.0,-1.0
0.0,0.0
3.0,1.5
10.0,8.5
-2.0,-1.5
-1.0,-2.0
1.0,-1.0
2.0,0.0
1.0,0.0
2.0,0.5
1.0,1.0
4.0,2.5
6.0,4.0
5.5,2.5
0.5,0.0
-1.0,-0.5
-0.5,0.0
-1.0,-1.0
0.5,-1.0
7.0,6.5
15.0,14.0
5.0,3.0
2.5,2.0
4.5,3.0
0.0,-1.5
2.5,2.5
-1.0,-0.5
-2.0,-1.5
-2.5,-1.0
1.0,-0.5
0.0,-0.5
0.5,-0.5
11.0,10.5
1.0,-1.0
1.0,1.0
-1.0,-2.0
-0.5,-1.0
2.0,0.5
0.0,-1.0
-1.0,-1.5
-0.5,-1.5
-2.0,-0.5
7.5,5.5
-2.0,-2.0
-2.0,-1.0
6.5,5.0
-1.0,1.0
1.0,0.0
42.0,43.0
-1.0,-1.5
-1.5,-1.0
0.5,-1.5
5.5,5.5
-1.0,-1.5
-2.5,0.5
-0.5,-0.5
0.5,-1.5
3.5,1.0
1.5,1.5
1.0,0.5
0.5,-0.5
3.0,1.0
-1.0,0.5
-0.5,-1.5
2.5,1.0
-1.5,-1.0
2.5,0.5
0.0,-1.0
0.5,0.0
4.0,4.5
3.0,1.5
-1.5,-1.0
4.5,3.0
2.5,1.0
0.0,-1.0
0.0,-0.5
-2.0,-1.0
-2.0,-1.5
-2.5,1.0
0.0,0.5
0.0,-1.0
-0.5,-1.5
1.5,0.0
-1.0,-1.0
2.5,0.0
4.0,2.5
-0.5,-0.5
1.5,-0.5
7.0,5.5
7.5,6.0
-1.5,-1.0
