MILANO LAMBRATE,MILANO ROGOREDO
2.5,-2.0
1.0,-3.0
4.5,7.0
-2.0,-5.0
1.0,-2.5
0.5,-3.0
5.0,0.5
0.5,-3.5
2.5,-2.5
3.5,-1.5
4.5,0.5
19.0,14.5
-1.0,-5.0
2.5,-3.0
7.0,4.5
-1.0,-4.5
3.0,0.0
1.0,-2.5
1.5,-2.0
4.5,0.0
0.5,-4.0
0.0,-4.5
5.5,1.0
2.0,-2.0
3.5,-1.0
3.0,-1.0
0.5,-3.5
-0.5,-5.0
1.0,-4.0
34.5,32.0
3.0,-1.0
3.5,0.0
-1.5,-5.0
3.5,0.0
4.0,1.0
13.5,10.5
1.0,-3.0
21.0,17.0
0.5,-4.5
1.0,-3.5
1.5,-3.0
-0.5,-4.5
-1.5,-4.5
-1.0,-4.5
2.5,-2.5
1.0,-1.5
24.0,19.0
4.5,0.0
1.0,-4.0
3.0,2.5
12.0,7.0
-0.5,1.0
1.5,2.0
4.0,-1.5
3.0,0.5
1.0,-1.0
15.5,25.0
1.5,-3.0
2.0,-2.0
0.0,-2.5
0.0,-3.5
1.5,1.5
0.0,-4.5
2.0,-3.5
0.5,-4.0
3.0,-2.0
60.5,57.0
3.0,-2.0
10.5,6.5
2.0,-2.5
0.5,-3.5
4.0,0.0
1.5,-3.5
0.0,-3.5
0.5,-2.5
3.5,-2.0
9.0,4.5
3.5,-1.0
-0.5,-4.0
20.0,24.0
-1.0,-4.0
2.0,-2.5
36.0,30.5
0.0,-4.0
9.0,5.5
-1.0,-5.0
5.0,0.5
0.0,-4.0
0.0,-4.5
8.0,3.0
0.5,-3.0
2.5,-2.0
1.0,-3.0
0.0,-4.0
-0.5,-5.0
-1.0,-4.5
-1.0,-4.0
2.5,-2.0
0.0,-2.5
0.0,-5.0
