IMOLA,CASTELBOLOGNESE
-4.0,-1.5
0.5,1.0
-2.5,-2.5
-4.5,-0.5
-1.5,-0.5
6.5,7.0
-3.0,-1.5
-1.5,-1.5
10.5,12.0
-2.5,-2.0
9.5,8.5
-4.0,-2.0
-4.0,9.0
-3.5,-2.0
-1.0,-0.5
-2.5,-1.5
-4.0,-2.5
8.5,8.5
-4.0,-2.5
-2.0,-0.5
-4.0,-2.5
9.0,7.5
3.5,1.5
-4.0,-2.5
0.0,-2.0
2.5,0.5
11.0,11.0
-2.0,4.0
1.5,0.0
5.5,4.0
-2.0,-1.0
-2.0,0.0
-3.5,-1.0
2.0,0.5
5.5,5.0
-3.5,-1.0
14.0,34.0
-3.5,-2.5
-3.0,-2.0
-3.0,-2.0
-3.0,19.5
-0.5,-1.5
5.5,19.0
0.0,-0.5
-2.0,-1.5
55.5,54.5
-2.5,3.0
-3.0,-3.0
-3.5,-2.5
-3.5,-2.5
-2.5,-0.5
-0.5,-1.0
5.0,3.5
-3.0,-2.0
0.0,3.0
-4.0,-2.5
-3.0,-2.0
-3.5,-2.0
4.0,1.5
-4.5,-2.5
6.0,4.0
-2.0,-1.5
-2.5,-1.5
-4.0,-2.0
-3.5,1.0
-1.0,-0.5
-2.5,6.0
-2.0,-2.0
-3.5,-2.5
9.5,10.5
-4.0,-3.0
-3.5,-0.5
-3.0,-2.5
-2.5,-1.5
2.0,0.5
-3.5,-2.0
-2.5,-1.5
0.0,3.0
-3.5,-2.5
-3.5,-2.0
-4.0,-1.5
-3.5,0.5
-3.0,-2.5
0.0,0.0
-4.0,-1.5
10.5,10.0
-4.0,-2.5
-1.5,-1.5
-4.5,-3.0
-3.0,2.0
1.0,5.5
-4.0,-2.5
0.0,-1.5
-3.0,-2.5
-2.5,3.0
-3.5,-2.0
0.5,-0.5
3.0,0.5
-2.5,-2.0
0.0,-1.5
