LUCCA,ALTOPASCIO
3.5,4.0
5.0,8.0
1.5,2.0
2.0,11.0
1.5,2.0
2.0,6.0
2.0,11.0
0.5,9.0
26.0,28.5
11.0,10.0
2.0,3.5
1.0,8.0
4.5,8.5
4.5,8.0
2.5,7.0
3.5,3.5
1.0,6.5
3.5,3.5
3.5,9.5
1.0,3.5
2.0,6.0
4.0,9.5
2.0,8.0
0.0,2.0
0.0,3.5
1.0,1.5
1.5,4.5
2.0,4.5
-0.5,0.5
4.0,6.5
2.5,6.0
2.0,5.5
6.5,18.5
1.0,5.0
2.5,5.5
4.0,3.0
2.0,2.5
3.5,7.5
10.5,26.5
1.5,6.5
2.5,6.0
1.5,7.0
2.0,8.0
0.5,0.5
0.5,17.0
23.5,34.5
2.5,2.0
9.5,13.5
7.0,12.0
1.0,1.5
4.5,6.5
4.5,7.5
7.0,11.0
1.0,6.0
1.0,4.5
2.0,3.0
1.5,7.5
1.0,5.0
6.5,7.5
12.5,12.5
3.0,11.5
1.0,2.0
3.0,8.5
6.0,4.5
1.5,9.5
2.0,5.0
6.0,11.5
5.0,8.0
3.5,10.0
10.5,10.0
6.0,8.0
2.0,5.5
1.5,8.0
-0.5,7.5
0.5,7.0
5.0,7.0
0.0,3.0
2.0,3.5
0.0,2.0
8.5,11.5
0.5,4.0
3.5,13.0
1.0,0.5
0.5,5.5
0.5,6.0
1.0,10.0
0.5,1.0
1.5,11.0
1.5,1.0
2.0,2.5
0.5,14.5
3.0,4.0
13.0,15.0
1.5,2.0
8.5,10.0
1.0,5.5
1.0,3.0
20.0,20.5
1.0,1.0
1.5,5.0
