BOLOGNA C.LE,OZZANO DELL'EMILIA
1.5,2.0
1.5,2.5
1.5,2.0
1.0,1.5
2.0,5.5
1.0,2.0
1.5,3.0
2.0,3.0
1.5,2.5
1.5,3.0
1.5,2.5
41.0,42.5
2.0,9.5
2.0,2.0
1.5,7.5
1.0,2.0
1.5,1.5
1.0,5.0
1.5,1.5
1.0,3.0
1.0,3.0
1.5,3.0
1.5,2.0
0.5,1.0
1.0,1.0
3.0,4.0
2.5,2.5
1.0,1.5
1.5,2.5
1.5,3.0
1.0,1.5
2.0,2.5
1.5,3.0
1.5,2.5
1.5,2.0
1.0,4.0
1.0,3.0
1.0,2.5
2.0,2.0
1.5,2.0
2.5,3.0
1.5,3.0
3.0,4.0
1.5,2.0
1.5,2.5
1.5,3.5
2.0,3.0
1.5,2.5
1.5,2.0
1.0,1.5
1.0,1.5
1.0,1.5
11.0,12.5
2.0,3.5
1.5,1.5
1.5,2.0
2.5,9.0
1.5,2.0
1.5,1.5
1.0,0.5
1.5,2.5
2.0,2.5
1.0,3.0
1.5,2.0
1.5,3.0
2.0,3.0
1.5,3.0
1.5,3.0
2.0,12.5
1.5,2.0
3.0,4.0
1.5,3.5
3.5,7.0
1.5,1.5
1.0,2.0
1.0,6.5
1.5,2.5
1.5,4.5
1.5,1.5
1.0,2.0
1.5,4.0
1.0,1.5
1.0,2.0
2.0,1.5
1.0,5.5
1.5,1.5
1.5,13.0
1.5,2.0
1.0,2.0
1.0,1.5
0.5,1.0
0.5,1.5
2.0,2.5
2.0,3.0
1.5,1.5
3.5,10.5
1.0,2.5
3.0,4.0
1.5,2.5
1.0,2.5
