S.BENEDETTO DEL TRONTO,PORTO S. GIORGIO FERMO
6.5,8.0
3.0,4.0
3.5,3.0
5.0,6.0
3.5,3.0
6.0,5.5
5.5,5.5
0.0,4.0
6.5,5.5
5.0,4.5
2.0,1.0
7.5,7.5
4.0,3.5
9.0,8.5
8.0,7.5
5.5,6.0
4.0,3.5
2.0,3.0
5.0,5.0
12.0,12.5
2.5,2.5
5.0,5.0
7.0,7.0
3.0,2.5
4.0,4.0
64.5,81.0
2.0,1.5
6.0,5.0
15.5,15.5
8.0,46.5
5.5,7.0
4.0,5.0
5.5,5.0
5.0,6.0
5.5,5.5
7.5,7.0
9.0,9.0
1.5,1.0
3.5,3.5
5.0,5.0
3.5,3.5
2.5,2.0
1.5,7.5
0.5,-0.5
3.0,3.0
2.0,1.0
1.0,0.5
9.0,10.0
2.0,1.0
5.5,5.5
5.5,5.5
4.5,4.5
2.5,2.0
2.5,2.0
3.0,2.5
8.5,7.5
4.5,7.0
4.0,3.5
13.5,14.0
2.5,2.0
2.5,2.0
25.0,23.5
4.0,4.0
4.5,4.5
1.5,0.5
3.5,4.0
3.5,4.0
2.5,1.5
3.0,4.0
3.5,3.5
3.5,3.0
2.5,1.5
21.0,21.5
5.5,4.5
1.5,0.0
1.0,0.0
3.0,3.0
3.5,2.5
2.0,1.0
4.5,4.0
2.5,3.0
10.5,10.5
1.5,0.5
2.0,1.0
11.5,12.0
2.5,3.0
3.5,3.5
3.0,3.0
3.5,4.5
3.5,5.0
7.0,6.0
3.5,3.0
4.5,3.5
2.5,2.0
1.0,4.0
1.5,1.5
2.0,2.0
5.5,5.0
6.0,5.0
3.0,4.5
