FIRENZE S.M.N.,BOLOGNA C.LE
-3.0,0.5
-0.5,5.0
7.0,9.5
13.5,18.5
-6.0,-0.5
-2.5,3.0
2.5,5.0
-3.0,4.0
-2.5,3.0
0.5,24.0
5.5,37.5
7.0,30.0
-6.5,1.0
-2.0,0.0
1.5,6.0
-6.0,-0.5
1.5,3.0
-6.0,0.0
-3.5,4.5
7.0,12.0
26.0,28.0
0.5,1.5
1.5,4.0
2.5,6.5
0.0,6.0
-5.5,2.5
-6.0,-1.0
-0.5,5.5
2.0,14.5
-1.0,-1.5
0.0,6.0
4.5,13.0
9.0,17.0
-0.5,0.0
1.5,9.5
2.5,8.0
4.0,4.5
25.5,26.0
8.0,11.5
10.5,12.5
4.0,6.5
-4.5,0.0
1.5,9.5
-2.0,15.5
5.0,8.5
0.0,1.0
-1.5,27.5
0.5,7.5
5.0,7.0
1.0,-1.0
-0.5,7.0
3.5,7.0
4.5,10.5
-2.5,-0.5
3.5,5.0
0.5,3.5
12.5,18.5
-7.5,-1.5
4.5,8.5
0.5,5.5
4.5,10.0
-6.0,1.0
-5.0,3.0
-1.5,1.0
1.5,4.0
0.0,9.0
-0.5,3.0
4.0,8.0
-1.0,15.5
2.0,2.5
1.0,3.5
-0.5,16.5
7.0,20.0
1.0,0.5
3.5,4.0
3.0,9.5
12.5,16.0
1.5,3.0
2.0,3.5
8.5,11.0
3.5,11.5
-4.5,2.0
4.5,7.5
1.0,9.5
3.0,10.5
-2.0,0.5
3.0,11.5
4.0,10.0
-2.0,2.5
0.0,4.5
2.5,11.0
8.0,10.5
-1.5,1.5
8.0,14.5
0.0,6.5
2.5,12.5
-1.5,-1.5
2.5,8.5
6.0,10.0
2.0,11.5
