POGGIO RENATICO,GALLIERA
4.5,4.5
5.0,5.5
5.5,5.0
1.0,2.0
1.0,1.5
6.0,6.0
5.5,5.5
8.5,8.5
3.5,3.5
7.5,8.0
3.5,4.0
4.0,4.0
5.0,5.0
3.0,3.0
7.5,8.0
2.0,3.0
6.5,6.5
4.0,4.0
4.5,4.5
4.5,5.0
3.0,3.0
7.5,7.5
3.5,3.5
7.5,7.5
3.5,5.0
1.0,2.5
4.5,7.0
6.0,6.0
4.0,4.5
3.5,4.0
3.0,3.5
6.5,6.5
1.5,2.0
4.0,4.0
3.0,3.0
15.5,17.5
4.0,4.5
3.5,3.0
4.5,4.5
4.0,4.0
3.5,4.0
3.0,3.5
6.5,6.5
6.0,6.5
4.5,5.0
6.0,5.5
5.0,5.5
4.5,6.0
10.0,12.5
4.0,4.5
4.0,4.5
3.5,5.5
4.0,4.5
4.0,4.0
21.0,21.0
3.5,4.0
6.0,5.5
4.0,3.5
8.0,7.5
3.5,4.0
5.0,5.5
3.0,3.5
7.0,7.0
6.0,6.0
5.5,5.5
4.0,4.5
1.0,2.5
3.5,4.0
4.5,4.5
3.5,3.0
7.5,6.0
4.5,5.0
4.0,4.0
1.5,3.0
6.0,5.5
7.5,7.5
14.0,13.5
4.0,4.5
6.0,6.0
2.0,2.0
3.5,3.5
5.5,5.0
5.0,5.0
7.5,7.5
0.5,1.0
4.0,4.5
4.0,4.5
8.5,8.5
4.5,4.5
9.5,10.0
14.0,14.0
2.5,2.5
6.0,6.0
1.5,2.0
5.0,5.5
7.0,6.5
7.0,7.0
