MILANO ROGOREDO,CASALPUSTERLENGO
0.5,2.5
1.5,2.0
-0.5,1.0
-0.5,0.0
-0.5,6.0
0.0,12.0
0.0,7.0
0.0,0.0
2.0,9.0
0.5,3.5
-0.5,-0.5
16.5,16.5
0.0,-1.0
0.0,0.5
1.0,8.0
0.0,0.5
0.5,6.5
-0.5,-2.0
6.0,7.0
0.5,3.5
0.5,1.0
1.5,1.5
1.5,1.0
-0.5,0.0
0.0,1.0
0.5,4.5
-0.5,-1.0
0.0,12.5
0.5,-0.5
1.0,2.0
3.0,8.5
0.0,0.5
0.5,1.5
0.0,2.0
0.5,1.5
0.0,3.0
0.0,1.0
0.5,1.5
-0.5,-2.0
3.5,6.5
5.5,5.5
0.0,7.0
19.0,23.5
-0.5,-0.5
0.5,1.5
-1.0,2.5
3.0,8.5
6.5,6.0
1.0,0.5
0.0,2.5
1.5,1.0
-0.5,-0.5
1.5,1.5
3.0,2.0
1.0,6.0
-0.5,1.0
-0.5,11.0
2.0,4.0
1.5,8.0
-0.5,1.0
-0.5,-0.5
0.0,0.0
21.0,25.5
0.0,-1.0
1.5,13.0
0.0,-1.0
-0.5,0.0
2.5,0.5
0.5,1.5
1.5,2.0
1.0,1.5
1.5,2.0
0.0,13.0
1.0,5.5
-2.0,-3.0
1.0,3.0
0.0,0.0
1.0,0.5
0.5,-0.5
0.0,4.0
0.5,1.5
1.5,2.0
1.5,2.0
7.5,5.5
0.5,0.0
0.5,3.0
-0.5,4.0
10.0,15.5
9.5,9.0
0.0,3.5
0.5,1.0
6.0,5.5
3.5,8.0
0.5,1.0
4.0,4.0
0.0,-0.5
1.0,3.5
-0.5,11.5
2.5,7.0
1.0,3.0
