PIACENZA,S.NICOLO'
1.0,-0.5
2.5,1.0
1.5,0.5
5.5,5.5
2.0,1.0
0.5,0.5
1.5,1.5
0.5,-1.0
0.5,-0.5
3.0,1.5
1.5,1.5
1.5,2.0
2.0,1.0
2.0,2.5
3.0,4.5
1.5,2.0
2.0,0.5
1.0,0.0
2.0,1.5
2.5,1.5
5.5,6.0
2.5,2.5
4.0,3.0
1.0,1.0
5.0,4.5
3.5,2.0
1.0,2.0
1.5,1.5
0.5,-1.0
3.0,1.5
1.0,0.5
1.0,0.5
2.0,2.0
1.0,1.0
4.5,4.0
1.0,1.0
2.0,0.5
1.0,1.0
2.0,0.5
3.0,2.0
2.5,1.5
0.5,0.0
0.5,-0.5
3.0,2.0
3.5,2.0
20.0,19.5
1.0,0.5
1.5,1.5
2.5,2.5
0.5,-0.5
1.0,0.0
4.0,2.5
25.5,25.5
1.5,0.5
1.0,1.0
0.5,0.0
1.0,1.0
10.0,10.0
1.0,0.5
1.5,2.5
1.5,1.0
4.0,2.5
1.0,-0.5
3.0,2.0
39.0,38.5
1.5,2.5
3.5,3.0
1.0,1.0
1.0,0.5
1.5,0.0
1.0,0.0
2.5,2.5
1.5,0.0
0.5,0.5
2.0,1.5
52.0,51.0
0.5,1.0
0.5,0.0
1.0,0.0
1.5,1.5
2.5,2.0
2.5,1.5
1.5,0.5
1.0,0.0
0.5,0.0
1.0,0.5
4.0,2.5
1.0,-0.5
1.5,0.0
4.5,5.0
0.5,0.5
1.0,-0.5
19.0,17.5
2.0,1.0
1.0,1.0
9.5,9.0
2.0,1.0
3.0,2.5
4.5,5.5
25.5,24.0
