LODI,PIACENZA
-3.0,-0.5
-1.0,-5.0
-1.5,-3.5
-0.5,-5.5
-1.0,-6.0
8.5,2.5
-7.5,-4.0
-0.5,-5.5
0.5,-4.0
-0.5,-8.0
-1.5,-6.5
-2.0,-5.0
1.0,-3.5
-1.0,-4.0
0.0,-0.5
-1.0,-5.5
-0.5,-4.5
-1.0,-1.5
-2.0,-6.0
-4.0,0.5
30.0,21.5
-3.5,-4.0
-1.0,-5.5
0.0,-1.0
2.0,-3.0
0.0,-3.0
0.0,-2.5
-1.0,-6.5
5.0,4.0
-1.0,-6.5
-1.5,-3.5
3.5,-4.5
3.5,-1.0
1.5,-5.0
8.5,-0.5
-1.5,-7.0
0.0,-2.5
0.0,5.0
-2.0,-4.0
26.0,26.5
-6.0,-5.5
28.5,22.0
3.5,0.5
-1.5,-5.5
6.5,-1.0
0.5,-5.5
2.5,-0.5
-0.5,-4.5
1.5,-2.0
1.0,-5.0
-1.0,-6.0
29.0,22.5
1.5,-6.0
1.0,-5.0
-1.0,-6.0
-1.0,-3.5
19.0,15.5
-1.5,-3.5
2.0,-3.0
-0.5,0.5
-0.5,-4.0
-1.0,-2.5
0.0,2.0
-0.5,-7.0
-2.5,-5.5
0.0,-6.0
0.5,-5.0
1.0,3.5
-1.5,-4.5
11.5,8.0
-8.0,-4.5
0.5,-5.5
2.5,-2.5
0.5,-5.5
0.5,-3.5
0.0,-4.0
2.5,-1.0
-0.5,-4.0
9.5,8.0
7.5,4.5
-1.0,-6.0
-1.0,-5.5
-1.0,-5.0
2.0,-2.0
3.0,-4.0
1.5,0.5
-0.5,-5.5
-2.5,-6.0
-1.0,-5.5
3.5,-2.0
-1.0,-3.0
9.5,1.5
-1.0,-2.0
-0.5,-4.5
-1.5,-4.0
10.5,9.0
-1.0,-6.5
0.0,-3.5
-1.5,-5.5
1.0,-1.5
