ROVERETO,VERONA PORTA NUOVA
0.5,0.0
1.5,2.0
4.0,4.5
-0.5,4.0
1.5,-2.5
0.0,-2.5
6.5,4.0
0.5,-1.5
3.0,6.5
-1.5,-1.5
-1.0,-2.5
2.0,1.0
2.0,1.0
-0.5,-1.5
2.5,-1.0
0.0,-3.0
7.5,2.5
3.0,2.0
3.5,1.0
4.5,3.0
0.0,0.5
-0.5,-3.0
-1.5,-4.0
23.5,18.5
3.0,1.0
-0.5,-1.0
1.0,0.0
1.0,0.5
0.5,-2.5
0.0,3.0
2.0,7.5
0.5,0.0
2.0,6.5
2.5,2.5
8.0,6.5
0.5,1.5
1.0,-1.5
0.5,2.0
-0.5,0.0
-1.0,-4.0
0.0,-0.5
0.5,-2.0
18.5,14.5
3.0,-1.5
0.5,-0.5
4.5,2.0
3.5,1.5
24.0,26.0
1.5,2.5
1.0,1.0
2.5,0.0
0.5,2.5
3.5,5.0
-1.0,2.5
2.0,1.0
3.0,4.0
-0.5,-0.5
1.0,-4.0
4.0,1.0
6.5,7.0
1.0,-0.5
0.5,-1.0
6.5,1.5
0.0,-2.5
1.5,7.0
0.0,-2.0
4.0,-0.5
2.5,-1.0
0.0,-2.0
3.0,4.0
1.0,2.0
4.0,2.5
3.0,0.5
6.5,4.0
0.0,2.0
-0.5,-1.0
0.0,-1.5
0.0,-2.5
1.5,1.0
4.0,2.0
1.0,2.0
3.5,5.0
1.5,1.5
-1.0,1.5
3.5,1.0
3.5,3.5
0.0,-1.5
3.0,1.5
3.0,1.0
0.5,-2.5
-0.5,-1.5
1.0,0.0
0.0,-1.5
3.5,4.5
0.0,2.0
2.0,-2.0
1.0,0.0
1.5,4.0
3.0,4.5
-0.5,5.0
